=== CALIBRACAO EXIT SIGNAL US V1 ===
DD0.100_SL0.080 | cal_melh=1.0263 cal_fp=0.6757 | val_melh=0.9988 val_fp=0.7821 | FAIL
DD0.100_SL0.100 | cal_melh=1.0272 cal_fp=0.6602 | val_melh=1.0048 val_fp=0.7671 | FAIL
DD0.100_SL0.120 | cal_melh=1.0309 cal_fp=0.6222 | val_melh=0.9989 val_fp=0.7460 | FAIL
DD0.125_SL0.080 | cal_melh=1.0239 cal_fp=0.6400 | val_melh=1.0123 val_fp=0.7500 | FAIL
DD0.125_SL0.100 | cal_melh=1.0294 cal_fp=0.6277 | val_melh=1.0083 val_fp=0.7500 | FAIL
DD0.125_SL0.120 | cal_melh=1.0331 cal_fp=0.6180 | val_melh=1.0082 val_fp=0.7460 | FAIL
DD0.150_SL0.080 | cal_melh=1.0360 cal_fp=0.6265 | val_melh=1.0073 val_fp=0.7679 | FAIL
DD0.150_SL0.100 | cal_melh=1.0324 cal_fp=0.6203 | val_melh=1.0049 val_fp=0.7679 | FAIL
DD0.150_SL0.120 | cal_melh=1.0322 cal_fp=0.6053 | val_melh=1.0068 val_fp=0.7593 | FAIL
DD0.175_SL0.080 | cal_melh=1.0289 cal_fp=0.6232 | val_melh=0.9979 val_fp=0.7381 | FAIL
DD0.175_SL0.100 | cal_melh=1.0266 cal_fp=0.6232 | val_melh=0.9943 val_fp=0.7317 | FAIL
DD0.175_SL0.120 | cal_melh=1.0267 cal_fp=0.6119 | val_melh=1.0144 val_fp=0.7179 | FAIL
DD0.200_SL0.080 | cal_melh=1.0342 cal_fp=0.6406 | val_melh=1.0254 val_fp=0.6452 | FAIL
DD0.200_SL0.100 | cal_melh=1.0320 cal_fp=0.6406 | val_melh=1.0254 val_fp=0.6333 | FAIL
DD0.200_SL0.120 | cal_melh=1.0451 cal_fp=0.6349 | val_melh=1.0314 val_fp=0.6207 | FAIL
Resultados salvos em /home/wilson/USA_OPS/analise_interfabricas/T-SDC-EXIT-SIGNAL-CALIBRATION-US-V1/resultados_raw.json
