date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum
2018-01-02,C3,100005.63492063493,100005.63492063493,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-03,C3,100011.27015879315,100011.27015879315,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-04,C3,100016.90571449258,100016.90571449258,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-05,C3,100022.5415877511,100022.5415877511,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-08,C3,100028.1777785866,100028.1777785866,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-09,C3,100033.81428701698,100033.81428701698,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-10,C3,100039.45111306015,100039.45111306015,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-11,C3,100045.08825673397,100045.08825673397,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-12,C3,100050.72571805638,100050.72571805638,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-16,C3,100056.36349704525,100056.36349704525,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-17,C3,100062.00159371851,100062.00159371851,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-18,C3,100067.64000809404,100067.64000809404,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-19,C3,100073.27874018974,100073.27874018974,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-22,C3,100078.91779002351,100078.91779002351,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-23,C3,100084.55715761326,100084.55715761326,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-24,C3,100090.1968429769,100090.1968429769,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-25,C3,100095.83684613234,100095.83684613234,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-26,C3,100101.47716709749,100101.47716709749,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-29,C3,100107.11780589024,100107.11780589024,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-30,C3,100112.75876252851,100112.75876252851,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-01-31,C3,100118.08221874843,100118.08221874843,0.0,0,0.0,0.0,5.3174603174603176e-05,0,0,0,0,0,0
2018-02-01,C3,100123.72379322266,100123.72379322266,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-02,C3,100129.36568559513,100129.36568559513,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-05,C3,100135.00789588375,100135.00789588375,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-06,C3,100140.65042410647,100140.65042410647,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-07,C3,100146.29327028117,100146.29327028117,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-08,C3,100151.93643442576,100151.93643442576,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-09,C3,100157.57991655818,100157.57991655818,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-12,C3,100163.22371669635,100163.22371669635,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-13,C3,100168.86783485816,100168.86783485816,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-14,C3,100174.51227106155,100174.51227106155,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-15,C3,100180.15702532444,100180.15702532444,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-16,C3,100185.80209766477,100185.80209766477,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-20,C3,100191.44748810043,100191.44748810043,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-21,C3,100197.09319664937,100197.09319664937,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-22,C3,100202.7392233295,100202.7392233295,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-23,C3,100208.38556815874,100208.38556815874,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-26,C3,100214.03223115504,100214.03223115504,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-27,C3,100219.67921233633,100219.67921233633,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-02-28,C3,100225.0481237227,100225.0481237227,0.0,0,0.0,0.0,5.3571428571428575e-05,0,0,0,0,0,0
2018-03-01,C3,100230.69572564079,100230.69572564079,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-02,C3,100236.34364579676,100236.34364579676,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-05,C3,100241.99188420855,100241.99188420855,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-06,C3,100247.64044089409,100247.64044089409,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-07,C3,100253.28931587131,100253.28931587131,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-08,C3,100258.93850915816,100258.93850915816,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-09,C3,100264.58802077257,100264.58802077257,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-12,C3,100270.23785073248,100270.23785073248,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-13,C3,100275.88799905582,100275.88799905582,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-14,C3,100281.53846576053,100281.53846576053,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0
2018-03-15,C3,100287.22904512585,100287.22904512585,0.0,0,0.0,0.0,5.674603174603175e-05,0,0,0,0,0,0
2018-03-16,C3,100292.91994740895,100292.91994740895,0.0,0,0.0,0.0,5.674603174603175e-05,0,0,0,0,0,0
2018-03-19,C3,100298.61117262818,100298.61117262818,0.0,0,0.0,0.0,5.674603174603175e-05,0,0,0,0,0,0
2018-03-20,C3,100304.34252183803,100304.34252183803,0.0,0,0.0,0.0,5.714285714285714e-05,0,0,0,0,0,0
2018-03-21,C3,100310.07419855356,100310.07419855356,0.0,0,0.0,0.0,5.714285714285714e-05,0,0,0,0,0,0
2018-03-22,C3,100316.76153683347,100316.76153683347,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-03-23,C3,100323.44932093592,100323.44932093592,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-03-26,C3,100330.13755089065,100330.13755089065,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-03-27,C3,100336.82622672737,100336.82622672737,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-03-28,C3,100343.51534847582,100343.51534847582,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-03-29,C3,100350.20491616572,100350.20491616572,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-04-02,C3,100356.8949298268,100356.8949298268,0.0,0,0.0,0.0,6.666666666666666e-05,0,0,0,0,0,0
2018-04-03,C3,100363.62521365343,100363.62521365343,0.0,0,0.0,0.0,6.706349206349206e-05,0,0,0,0,0,0
2018-04-04,C3,100338.57966200483,123.29966200483666,0.0,10,0.10001337505278665,25.053819999999998,6.706349206349206e-05,0,0,0,0,0,0
2018-04-05,C3,1261212.1379309108,123.30793091074095,0.0,10,0.7479090722576541,25.053819999999998,6.706349206349206e-05,0,0,0,0,0,0
2018-04-06,C3,94266773.39620037,123.31620037118694,0.0,10,0.9367881897139321,25.053819999999998,6.706349206349206e-05,1,0,0,0,0,0
2018-04-09,C3,8942020749.214472,123.32447038621183,0.0,10,0.983133482526562,25.053819999999998,6.706349206349206e-05,1,0,0,0,0,0
2018-04-10,C3,13108176864.23274,123.3327409558528,0.0,10,0.6809367994076463,25.053819999999998,6.706349206349206e-05,1,0,0,0,0,0
2018-04-11,C3,13258699601.951014,123.34101208014705,0.0,10,0.6735049641433902,25.053819999999998,6.706349206349206e-05,1,0,0,0,0,0
2018-04-12,C3,12753686217.359282,123.34928375913178,0.0,10,0.6535992698843403,25.053819999999998,6.706349206349206e-05,0,0,0,0,0,0
2018-04-13,C3,12269386326.917557,123.35755599284418,0.0,9,0.6535779203893254,25.053819999999998,6.706349206349206e-05,0,0,0,0,0,0
2018-04-16,C3,10161213992.565828,123.36582878132147,0.0,9,0.5950981845696844,25.053819999999998,6.706349206349206e-05,1,0,0,0,0,0
2018-04-17,C3,10869322144.13824,123.37410212460084,6556120543.4441395,9,0.3968163739011123,1639465.04968,6.706349206349206e-05,1,0,0,1,1,1
2018-04-18,C3,10885465959.334549,6556560343.164548,0.0,9,0.39767044802413126,1639465.04968,6.706349206349206e-05,1,0,0,1,1,1
2018-04-19,C3,10681917994.537086,6557000048.997086,0.0,9,0.3861373493139935,1639465.04968,6.706349206349206e-05,1,0,0,1,1,1
2018-04-20,C3,10708184511.371979,6557442386.301979,0.0,9,0.38616781823366114,1639465.04968,6.746031746031747e-05,1,0,0,1,1,1
2018-04-23,C3,12346162849.357086,6557884753.447087,0.0,9,0.3404461107702688,1639465.04968,6.746031746031747e-05,1,0,0,1,0,1
2018-04-24,C3,12299963954.684423,6558327150.434423,0.0,9,0.33874591139864035,1639465.04968,6.746031746031747e-05,1,0,0,1,0,1
2018-04-25,C3,12431625089.826,6558769577.266001,0.0,9,0.3427372704061844,1639465.04968,6.746031746031747e-05,1,0,0,1,0,1
2018-04-26,C3,12683504593.913834,6559212033.943832,0.0,9,0.3507878060875188,1639465.04968,6.746031746031747e-05,1,0,0,1,0,1
2018-04-27,C3,12697602945.979933,6559654520.469933,0.0,9,0.3462759875785888,1639465.04968,6.746031746031747e-05,1,0,0,1,0,1
2018-04-30,C3,12787309008.388805,6560094433.8088045,0.0,9,0.33033851158432587,1639465.04968,6.706349206349206e-05,0,0,0,1,0,1
2018-05-01,C3,12703345273.04188,6560536979.861879,0.0,9,0.3300496274707669,1639465.04968,6.746031746031747e-05,0,0,0,1,0,1
2018-05-02,C3,12869179351.82925,6560979555.769252,0.0,9,0.33515151837455154,1639465.04968,6.746031746031747e-05,0,0,0,1,0,1
2018-05-03,C3,12835636439.312935,6561422161.532935,0.0,9,0.32909475466774046,1639465.04968,6.746031746031747e-05,0,0,0,1,0,1
