date,variant,ticker,event,split_factor,shares_before,shares_after,buy_price_before,buy_price_after
2019-03-14,C1,ICON,split_adjustment,0.1,39871,3987,0.38,3.8
2019-03-14,C1,ICON,split_adjustment,0.1,11590,1159,0.2839,2.8389999999999995
2019-11-25,C1,TNK,split_adjustment_drop_lot,0.125,1,0,,
2019-11-25,C1,TNK,split_adjustment,0.125,4292,536,2.34,18.72
2019-11-25,C1,TNK,split_adjustment_drop_lot,0.125,2,0,,
2021-10-12,C1,LXU,split_adjustment,1.3,1,1,12.78,9.83076923076923
2021-10-12,C1,LXU,split_adjustment,1.3,1,1,11.67,8.976923076923077
2024-02-08,C1,ZJYL,split_adjustment,20.0,2,40,166.9,8.345
2025-06-16,C1,RGC,split_adjustment,38.0,1,38,32.28,0.8494736842105264
2025-06-16,C1,RGC,split_adjustment,38.0,1,38,29.01,0.763421052631579
2025-06-16,C1,RGC,split_adjustment,38.0,1,38,34.34,0.9036842105263159
2025-07-10,C1,MFI,split_adjustment_drop_lot,0.125,1,0,,
2025-07-10,C1,MFI,split_adjustment_drop_lot,0.125,2,0,,
2025-07-10,C1,MFI,split_adjustment,0.125,58,7,5.88,47.04
2025-07-10,C1,MFI,split_adjustment,0.125,12,2,4.8,38.4
2025-07-10,C1,MFI,split_adjustment_drop_lot,0.125,3,0,,
2025-07-10,C1,MFI,split_adjustment,0.125,15,2,4.0,32.0
2025-09-19,C1,VOR,split_adjustment,0.05,24,1,2.07,41.39999999999999
2025-09-19,C1,VOR,split_adjustment,0.05,118,6,1.99,39.8
2025-09-19,C1,VOR,split_adjustment,0.05,34,2,1.66,33.199999999999996
2025-09-19,C1,VOR,split_adjustment,0.05,27,1,1.8,36.0
2025-09-19,C1,VOR,split_adjustment_drop_lot,0.05,2,0,,
2025-09-19,C1,VOR,split_adjustment,0.05,132,7,1.6,32.0
2025-09-19,C1,VOR,split_adjustment_drop_lot,0.05,3,0,,
2025-09-19,C1,VOR,split_adjustment,0.05,11,1,1.52,30.4
2025-09-19,C1,VOR,split_adjustment_drop_lot,0.05,8,0,,
2019-03-14,C2,ICON,split_adjustment_drop_lot,0.1,4,0,,
2019-11-25,C2,TNK,split_adjustment,0.125,2575,322,2.14,17.12
2019-11-25,C2,TNK,split_adjustment,0.125,1356,170,2.09,16.72
2019-11-25,C2,TNK,split_adjustment_drop_lot,0.125,1,0,,
2019-11-25,C2,TNK,split_adjustment,0.125,101,13,1.92,15.36
2021-10-12,C2,LXU,split_adjustment,1.3,719,935,12.86,9.892307692307691
2021-10-12,C2,LXU,split_adjustment,1.3,50,65,12.42,9.553846153846154
2024-02-08,C2,ZJYL,split_adjustment,20.0,1,20,262.02,13.100999999999999
2025-06-16,C2,RGC,split_adjustment,38.0,3,114,29.7,0.781578947368421
2025-06-16,C2,RGC,split_adjustment,38.0,1,38,28.8,0.7578947368421053
2025-07-10,C2,MFI,split_adjustment_drop_lot,0.125,1,0,,
2025-07-10,C2,MFI,split_adjustment,0.125,75,9,5.58,44.64
2025-07-10,C2,MFI,split_adjustment,0.125,21,3,4.0,32.0
2025-09-19,C2,VOR,split_adjustment,0.05,118,6,2.07,41.39999999999999
2025-09-19,C2,VOR,split_adjustment,0.05,59,3,1.99,39.8
2025-09-19,C2,VOR,split_adjustment_drop_lot,0.05,2,0,,
2025-09-19,C2,VOR,split_adjustment,0.05,12,1,2.02,40.4
2025-09-19,C2,VOR,split_adjustment,0.05,163,8,1.6,32.0
2025-09-19,C2,VOR,split_adjustment,0.05,67,3,1.52,30.4
