variant,split,equity_final,cagr,mdd,avg_tickers,max_concentration_pct,cost_total,days,defensive_days_pct,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,quarantine_entries,top_n,rebalance_cadence,buffer_k
C1,HOLDOUT,203725.54,10.2574,-80.9586,4.9551,94.7017,19333.62,802,69.0773,57,59,125,226,5,1,
C1,TRAIN,153670.66,8.979,-69.5242,4.7434,66.203,14367.4,1259,66.2431,38,41,72,140,5,1,
C1,HOLDOUT,232930.41,8.6444,-81.5553,5.0387,95.5701,14741.33,802,70.8229,49,48,125,202,5,2,
C1,TRAIN,178842.15,12.3386,-60.6002,4.7419,70.6516,10755.09,1259,65.2899,29,32,76,128,5,2,
C1,HOLDOUT,1477732.04,30.0552,-78.8381,4.9202,95.6135,25607.02,802,71.4464,55,45,113,190,5,5,
C1,TRAIN,631427.87,44.6062,-57.1154,4.7387,65.3529,13376.46,1259,68.1493,37,28,71,122,5,5,
C1,HOLDOUT,1105946.18,51.5001,-69.6285,9.687,91.0436,33930.32,802,68.7032,91,102,223,402,10,1,
C1,TRAIN,301941.01,24.7544,-55.3231,9.1628,39.676,16473.77,1259,63.7808,58,64,139,251,10,1,
C1,HOLDOUT,1348257.69,52.4597,-71.9479,9.601,90.3699,26008.63,802,66.5835,89,85,211,354,10,2,
C1,TRAIN,360720.15,29.2759,-55.1232,9.1692,41.121,11808.72,1259,64.0985,52,51,138,225,10,2,
C1,HOLDOUT,3926300.8,71.5568,-71.5723,9.5599,89.4896,35924.6,802,67.4564,80,74,218,338,10,5,
C1,TRAIN,701697.37,47.6929,-44.3881,8.9539,40.613,13144.87,1259,68.6259,50,46,144,221,10,5,
C2,HOLDOUT,371885.31,19.1842,-77.4734,4.9277,93.379,21605.97,802,73.5661,54,58,124,220,5,1,10
C2,TRAIN,219201.25,17.0086,-70.1451,4.7172,67.952,14410.69,1259,68.5465,40,42,74,142,5,1,10
C2,HOLDOUT,298554.53,12.5602,-85.1019,4.8915,94.8594,15106.64,802,68.8279,47,50,120,203,5,1,15
C2,TRAIN,209948.17,16.0029,-69.8415,4.7434,47.8778,9365.49,1259,69.2613,27,31,69,121,5,1,15
