variant,split,equity_final,cagr,mdd,avg_tickers,max_concentration_pct,cost_total,days,defensive_days_pct,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,quarantine_entries,top_n,rebalance_cadence,buffer_k,k_damp,max_weight_cap
C2,HOLDOUT,939059.19,28.198,-51.2759,17.7057,52.6253,11103.78,802,67.581,123,124,355,539,20,10,10,0.0,1.0
C2,TRAIN,426969.0,33.7133,-35.2026,16.3924,26.8719,4829.12,1259,69.4996,78,72,229,339,20,10,10,0.0,1.0
C2,HOLDOUT,994819.62,30.1184,-53.129,17.4227,52.6374,11438.24,802,68.4539,131,132,371,565,20,10,30,0.0,1.0
C2,TRAIN,431382.38,33.9888,-35.2566,16.5131,26.1645,4921.49,1259,69.7379,88,80,243,364,20,10,30,0.0,1.0
C2,HOLDOUT,926569.76,26.9914,-50.0684,21.5686,48.7004,11887.63,802,68.7032,160,168,462,716,25,10,10,0.0,1.0
C2,TRAIN,434092.35,34.1568,-34.4603,20.8006,25.7006,4945.96,1259,68.467,106,103,306,463,25,10,10,0.0,1.0
C2,HOLDOUT,764743.41,24.8339,-51.0756,22.0599,48.2547,9965.89,802,68.9526,168,156,450,686,25,10,30,0.0,1.0
C2,TRAIN,378143.05,30.5023,-40.2745,20.5155,26.2567,4267.03,1259,67.7522,107,92,297,437,25,10,30,0.0,1.0
C4,HOLDOUT,1379228.71,42.1353,-40.1213,18.4426,43.4723,13475.27,802,65.586,137,127,370,574,20,10,10,0.0,0.06
C4,TRAIN,452781.65,35.2935,-32.9816,17.1191,19.131,5111.58,1259,71.4059,96,75,246,375,20,10,10,0.0,0.06
C4,HOLDOUT,1119146.62,38.4576,-42.489,17.9115,43.3592,11305.12,802,67.0823,122,129,354,538,20,10,10,0.0,0.08
C4,TRAIN,398547.58,31.8823,-33.3702,16.8403,19.1511,4614.86,1259,69.4996,83,77,229,342,20,10,10,0.0,0.08
C4,HOLDOUT,1131421.78,39.4183,-42.4555,17.904,43.5026,11210.23,802,68.5786,124,123,354,550,20,10,10,0.0,0.1
C4,TRAIN,393929.2,31.575,-33.0562,16.5894,20.0717,4554.19,1259,69.4996,83,73,237,358,20,10,10,0.0,0.1
C4,HOLDOUT,1309818.64,36.8331,-44.042,18.495,46.4681,13622.99,802,65.3367,134,133,372,572,20,10,10,10.0,0.06
C4,TRAIN,485276.31,37.1835,-33.1604,16.9214,19.1766,5279.24,1259,68.3876,92,83,247,374,20,10,10,10.0,0.06
C4,HOLDOUT,1137171.13,38.3908,-42.8474,17.8691,46.3727,11323.35,802,69.0773,125,131,349,536,20,10,10,10.0,0.08
C4,TRAIN,405583.39,32.3451,-33.0102,16.4488,19.1541,4611.43,1259,69.2613,85,80,224,338,20,10,10,10.0,0.08
C4,HOLDOUT,1203897.44,38.2293,-42.6926,17.9751,46.3894,11560.03,802,65.4613,123,122,352,531,20,10,10,10.0,0.1
C4,TRAIN,430618.42,33.9413,-32.8715,16.7029,19.9065,4626.36,1259,67.9905,83,71,231,338,20,10,10,10.0,0.1
C4,HOLDOUT,1148917.72,36.1874,-43.8003,18.4077,45.4037,12244.91,802,65.586,141,122,375,566,20,10,10,100.0,0.06
C4,TRAIN,432142.58,34.036,-33.7061,17.2256,19.5438,4977.51,1259,69.1819,100,80,244,367,20,10,10,100.0,0.06
C4,HOLDOUT,1133271.99,37.3645,-42.8469,18.0362,45.1923,11490.24,802,67.3317,134,135,370,568,20,10,10,100.0,0.08
C4,TRAIN,413913.58,32.8847,-32.3921,16.8602,19.1621,4734.34,1259,68.467,92,83,237,361,20,10,10,100.0,0.08
C4,HOLDOUT,1247342.52,41.533,-41.2145,17.581,45.2936,11655.1,802,67.4564,116,113,346,518,20,10,10,100.0,0.1
C4,TRAIN,413835.53,32.8797,-34.1052,16.5171,19.8093,4620.98,1259,66.799,75,67,228,329,20,10,10,100.0,0.1
C4,HOLDOUT,1168178.21,38.1469,-42.0851,18.2357,43.19,12272.09,802,67.8304,138,138,365,566,20,10,30,0.0,0.06
C4,TRAIN,419920.38,33.2685,-34.4228,17.224,19.8748,5015.92,1259,68.5465,98,83,236,362,20,10,30,0.0,0.06
C4,HOLDOUT,1070690.26,34.2409,-42.522,17.7668,43.3969,11369.61,802,67.3317,134,126,347,542,20,10,30,0.0,0.08
C4,TRAIN,420844.3,33.3271,-34.0177,16.9007,19.2156,4713.21,1259,68.7053,88,73,228,345,20,10,30,0.0,0.08
C4,HOLDOUT,1192504.21,37.2965,-42.2502,17.9077,43.2566,11777.94,802,67.9551,128,125,356,545,20,10,30,0.0,0.1
C4,TRAIN,436017.87,34.2757,-34.4093,16.7141,19.9957,4654.67,1259,69.1819,85,73,227,341,20,10,30,0.0,0.1
C4,HOLDOUT,1261154.88,38.025,-41.6104,18.1521,46.3415,12804.1,802,66.7082,132,119,355,546,20,10,30,10.0,0.06
C4,TRAIN,454456.32,35.3936,-34.703,16.8348,19.3373,5074.29,1259,67.4345,94,67,224,342,20,10,30,10.0,0.06
C4,HOLDOUT,1151021.64,34.313,-44.1678,17.7506,46.2668,11827.37,802,67.4564,127,120,347,534,20,10,30,10.0,0.08
C4,TRAIN,451625.36,35.2243,-33.9327,16.4559,19.233,4685.02,1259,67.7522,87,70,225,336,20,10,30,10.0,0.08
C4,HOLDOUT,1148175.9,36.8205,-44.0488,17.6459,46.2002,11495.19,802,66.4589,131,123,361,552,20,10,30,10.0,0.1
C4,TRAIN,424404.99,33.5522,-34.3659,16.5687,20.0187,4632.62,1259,69.579,88,74,240,358,20,10,30,10.0,0.1
C4,HOLDOUT,1168615.13,37.6383,-43.8154,18.091,45.1098,12226.49,802,67.4564,142,124,377,573,20,10,30,100.0,0.06
C4,TRAIN,424849.03,33.5801,-33.9756,17.2415,19.1594,4944.96,1259,68.2288,97,75,246,370,20,10,30,100.0,0.06
C4,HOLDOUT,1110645.82,37.6979,-41.9242,18.0187,45.2272,11299.85,802,68.3292,141,125,361,561,20,10,30,100.0,0.08
C4,TRAIN,402649.96,32.1529,-34.4937,16.6736,19.1579,4582.2,1259,69.3407,93,75,233,356,20,10,30,100.0,0.08
C4,HOLDOUT,1154004.16,34.4944,-43.741,17.697,45.1967,12035.99,802,68.4539,131,134,367,558,20,10,30,100.0,0.1
C4,TRAIN,450622.11,35.1641,-35.9799,16.6307,21.26,4835.69,1259,68.9436,93,82,239,358,20,10,30,100.0,0.1
C4,HOLDOUT,956105.87,34.4939,-41.3434,22.5411,37.5033,11011.05,802,67.7057,141,163,461,703,25,10,10,0.0,0.06
C4,TRAIN,373265.25,30.1636,-38.5203,20.6227,16.149,4470.25,1259,67.911,97,97,303,451,25,10,10,0.0,0.06
C4,HOLDOUT,1003473.81,33.6318,-40.9707,21.9539,37.5363,11546.51,802,69.0773,164,153,472,720,25,10,10,0.0,0.08
C4,TRAIN,399687.15,31.9577,-36.2968,20.6545,17.8886,4738.79,1259,69.4202,107,96,312,469,25,10,10,0.0,0.08
C4,HOLDOUT,1056952.15,34.4363,-41.0867,21.995,37.5043,11702.24,802,67.3317,151,147,450,688,25,10,10,0.0,0.1
C4,TRAIN,413038.32,32.8284,-38.2233,20.3217,18.0813,4662.54,1259,68.0699,99,86,297,446,25,10,10,0.0,0.1
C4,HOLDOUT,1044239.87,35.8989,-40.965,22.1621,40.99,11547.55,802,68.5786,156,152,449,691,25,10,10,10.0,0.06
C4,TRAIN,394244.81,31.5961,-35.4933,20.3392,16.0683,4600.85,1259,67.7522,106,88,282,429,25,10,10,10.0,0.06
C4,HOLDOUT,1054742.05,34.5632,-40.7015,22.0187,41.0543,11548.01,802,68.0798,166,146,449,683,25,10,10,10.0,0.08
