ticker,value_start,value_end,delta_value,delta_pct_of_total,from_date,to_date,window_type
IONQ,50603.76,0.0,-50603.76,17.608380270301613,2024-12-26,2025-04-08,mdd_main
KOD,49017.3,0.0,-49017.3,17.05634637077275,2024-12-26,2025-04-08,mdd_main
UMAC,48919.06,0.0,-48919.06,17.022162205845984,2024-12-26,2025-04-08,mdd_main
RKLB,48148.920000000006,0.0,-48148.920000000006,16.7541797875164,2024-12-26,2025-04-08,mdd_main
SOUN,44922.42,0.0,-44922.42,15.631467978312333,2024-12-26,2025-04-08,mdd_main
REAL,43388.520000000004,0.0,-43388.520000000004,15.097723163764648,2024-12-26,2025-04-08,mdd_main
ALAB,40680.99,0.0,-40680.99,14.15559519079881,2024-12-26,2025-04-08,mdd_main
DRUG,37769.2,0.0,-37769.2,13.142391713680478,2024-12-26,2025-04-08,mdd_main
RDDT,36231.700000000004,0.0,-36231.700000000004,12.607394222079288,2024-12-26,2025-04-08,mdd_main
DXYZ,35836.0,0.0,-35836.0,12.46970413594817,2024-12-26,2025-04-08,mdd_main
SATL,35336.76,0.0,-35336.76,12.295985665894852,2024-12-26,2025-04-08,mdd_main
MSTR,33422.9,0.0,-33422.9,11.630027747666652,2024-12-26,2025-04-08,mdd_main
CRDO,8930.48,0.0,-8930.48,3.1075020479964954,2024-12-26,2025-04-08,mdd_main
BTDR,24.46,0.0,-24.46,0.008511244646871644,2024-12-26,2025-04-08,mdd_main
HUT,23.89,0.0,-23.89,0.008312904113399983,2024-12-26,2025-04-08,mdd_main
SMR,21.82,0.0,-21.82,0.007592614807634476,2024-12-26,2025-04-08,mdd_main
QUBT,19.24,0.0,-19.24,0.00669486291928906,2024-12-26,2025-04-08,mdd_main
RGTI,15.44,0.0,-15.44,0.005372592696144651,2024-12-26,2025-04-08,mdd_main
ETON,13.57,0.0,-13.57,0.004721896560018325,2024-12-26,2025-04-08,mdd_main
RCAT,13.41,0.0,-13.41,0.004666222024306981,2024-12-26,2025-04-08,mdd_main
APPS,0.0,2.2,2.2,-0.0007655248660309739,2024-12-26,2025-04-08,mdd_main
BB,0.0,2.87,2.87,-0.0009986619843222247,2024-12-26,2025-04-08,mdd_main
ORLA,0.0,8.29,8.29,-0.0028846368815439874,2024-12-26,2025-04-08,mdd_main
CYD,0.0,14.76,14.76,-0.005135975919371442,2024-12-26,2025-04-08,mdd_main
AU,0.0,33.16,33.16,-0.01153854752617595,2024-12-26,2025-04-08,mdd_main
ESLT,0.0,371.97,371.97,-0.12943285655342787,2024-12-26,2025-04-08,mdd_main
