arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
B,0,2018-10-17,2018-10-16,2018-10-31,2018-10-30,TRAIN,10,20,2,0.1,TLRY;IGC;LIQT;KALV;SSKN;REFR;GOGO;ICL;PLG;FEIM;NTWK;SSP;UIS;IAC;PLAY;EEFT;KZR;VTGN;ULH;HCKT,TLRY;IGC;LIQT;KALV;SSKN;REFR;ICL;PLG;FEIM;NTWK;SSP;UIS;IAC;PLAY;EEFT;KZR;VTGN;HCKT;MKC.V;NXRT,GOGO;ULH,MKC.V;NXRT,-0.12846529961112893,-0.10884580989974568,-0.10889580989974568,5e-05,1,0.5,0,0,
B,0,2018-10-31,2018-10-30,2018-11-14,2018-11-13,TRAIN,10,20,3,0.15,TLRY;IGC;GOGO;NTWK;KZR;KALV;MGTX;EDRY;TOPS;VNRX;IIIV;LQDA;VTGN;RLGT;SBH;MKC.V;LRN;SSP;MTNB;FEIM,IGC;GOGO;KZR;KALV;MGTX;EDRY;TOPS;VNRX;IIIV;LQDA;VTGN;RLGT;SBH;LRN;SSP;MTNB;FEIM;IAC;PDEX;NVAX,MKC.V;NTWK;TLRY,IAC;NVAX;PDEX,0.008104648994250266,0.020286637512793883,0.020211637512793885,7.500000000000001e-05,2,0.6666666666666666,4,0,0.0
B,0,2018-11-14,2018-11-13,2018-11-29,2018-11-28,TRAIN,10,20,7,0.35,TLRY;IGC;PDEX;PLG;GLBS;EDRY;SLS;MTNB;RLGT;KZR;SBH;FLNT;NWPX;PACB;LRN;VIVO;RGEN;MGTX;KTWO;GOGO,TLRY;IGC;PLG;SLS;MTNB;RLGT;KZR;PACB;LRN;RGEN;MGTX;KTWO;GOGO;IDXG;IIPR;LOCO;ICL;SSRM;GOLD;FEIM,EDRY;FLNT;GLBS;NWPX;PDEX;SBH;VIVO,FEIM;GOLD;ICL;IDXG;IIPR;LOCO;SSRM,-0.076110546521535,-0.05020557221004757,-0.05038057221004757,0.000175,0,0.0,0,0,
B,0,2018-11-29,2018-11-28,2018-12-14,2018-12-13,TRAIN,10,20,1,0.05,PDEX;LRN;IDT;FLNT;KZR;SBH;TR;MITK;NAT;NWPX;HELE;MKC.V;GHC;FEIM;GOLD;PACB;LOCO;RLGT;SAFE;SSRM,PDEX;LRN;IDT;FLNT;KZR;SBH;TR;MITK;NAT;NWPX;HELE;MKC.V;GHC;FEIM;GOLD;LOCO;RLGT;SAFE;SSRM;TGEN,PACB,TGEN,-0.0064970847668915175,-0.009377199512736554,-0.009402199512736555,2.5e-05,1,1.0,5,0,0.0
B,0,2018-12-14,2018-12-13,2018-12-31,2018-12-28,TRAIN,10,20,3,0.15,FLNT;GOLD;KZR;NVAX;MITK;SSRM;GNE;LRN;RDVT;MKC.V;TR;FNV;GHC;YORW;ENSG;HE;NWPX;KRYS;FEIM;VIRT,FLNT;GOLD;KZR;MITK;SSRM;LRN;RDVT;MKC.V;TR;FNV;GHC;YORW;ENSG;HE;NWPX;KRYS;VIRT;HELE;IIPR;IDT,FEIM;GNE;NVAX,HELE;IDT;IIPR,-0.0852248227967532,-0.07928073028876362,-0.07935573028876362,7.500000000000001e-05,1,0.3333333333333333,0,0,
B,0,2018-12-31,2018-12-28,2019-01-15,2019-01-14,TRAIN,10,20,1,0.05,FLNT;ZBIO;MITK;LRN;SSRM;UTI;VIRT;TR;EHTH;MLAB;GHC;HYAC;LFAC;RPRX;TORM;TIL;TIME;STLY;KTEC;PRKR,FLNT;ZBIO;MITK;LRN;SSRM;UTI;VIRT;TR;EHTH;GHC;HYAC;LFAC;RPRX;TORM;TIL;TIME;STLY;KTEC;PRKR;RGC,MLAB,RGC,0.0039179208378694735,0.002770966709908633,0.002745966709908633,2.5e-05,0,0.0,0,0,
B,0,2019-01-15,2019-01-14,2019-01-30,2019-01-29,TRAIN,10,20,2,0.1,FLNT;UTI;LRN;EHTH;PACB;GNE;MITK;LQDT;LGIH;RFL;MLAB;VCTR;VCYT;KRYS;LOCO;RDVT;LION;TFSL;PKE;PFGC,FLNT;UTI;LRN;EHTH;PACB;MITK;LQDT;LGIH;MLAB;VCTR;VCYT;KRYS;LOCO;RDVT;LION;TFSL;PKE;PFGC;GHC;GNTX,GNE;RFL,GHC;GNTX,0.055086533538095506,0.03833711643869286,0.038287116438692856,5e-05,0,0.0,1,1,1.0
B,0,2019-01-30,2019-01-29,2019-02-13,2019-02-12,TRAIN,10,20,2,0.1,RFL;EHTH;FLNT;GNE;VCYT;PDEX;REFR;MITK;GLOB;NVCR;UTI;LRN;NAK;SANM;PKE;SSRM;RDVT;VCTR;IIPR;LGIH,RFL;EHTH;FLNT;GNE;VCYT;PDEX;MITK;GLOB;NVCR;UTI;LRN;NAK;PKE;SSRM;RDVT;VCTR;IIPR;LGIH;GENC;LION,REFR;SANM,GENC;LION,0.022755985626367707,0.014715906488629088,0.014665906488629088,5e-05,0,0.0,1,0,0.0
B,0,2019-02-13,2019-02-12,2019-02-28,2019-02-27,TRAIN,10,20,1,0.05,REFR;RFL;EHTH;NVCR;PAR;EOLS;JVA;LGIH;LRN;PNRG;LSCC;IIPR;LOVE;SSRM;LION;THM;ICHR;GFF;NAK;PCTY,REFR;RFL;EHTH;NVCR;PAR;JVA;LGIH;LRN;PNRG;LSCC;IIPR;LOVE;SSRM;LION;THM;ICHR;GFF;NAK;PCTY;FLNT,EOLS,FLNT,0.029629746550362344,0.033777563918777107,0.03375256391877711,2.5e-05,0,0.0,2,0,0.0
B,0,2019-02-28,2019-02-27,2019-03-14,2019-03-13,TRAIN,10,20,4,0.2,LSCC;NVCR;LOVE;VCYT;IIPR;RFL;TNDM;LPSN;W;VHI;PNRG;EHTH;OFLX;RPD;SMMT;EOLS;KNDI;PAR;GFF;VGZ,LSCC;NVCR;LOVE;VCYT;IIPR;RFL;LPSN;VHI;PNRG;OFLX;RPD;EOLS;KNDI;PAR;GFF;VGZ;LRN;LION;VIAV;THM,EHTH;SMMT;TNDM;W,LION;LRN;THM;VIAV,-0.018098729599868437,-0.028742679871234866,-0.028842679871234865,0.0001,0,0.0,1,0,0.0
B,0,2019-03-14,2019-03-13,2019-03-28,2019-03-27,TRAIN,10,20,3,0.15,LSCC;GH;GFF;PNRG;JYNT;TNDM;SPRO;LEE;RUBI;EOLS;TPB;VCYT;YETI;SNAP;OFLX;ZS;RIOT;KNDI;PBYI;LPSN,LSCC;GFF;PNRG;TNDM;SPRO;LEE;RUBI;EOLS;TPB;VCYT;YETI;SNAP;ZS;RIOT;KNDI;PBYI;LPSN;LRN;FLNT;PDFS,GH;JYNT;OFLX,FLNT;LRN;PDFS,-0.049947510464908654,-0.04139402383473537,-0.04146902383473537,7.500000000000001e-05,1,0.3333333333333333,1,0,0.0
B,0,2019-03-28,2019-03-27,2019-04-11,2019-04-10,TRAIN,10,20,1,0.05,PED;PNRG;YETI;STNE;SPRO;SNES;HDSN;VCYT;GFF;RMTI;MTNB;RKDA;IIPR;SNAP;EFOI;SND;JYNT;EKSO;GH;ROKU,PED;PNRG;YETI;STNE;SPRO;SNES;HDSN;VCYT;GFF;RMTI;MTNB;RKDA;IIPR;SNAP;EFOI;SND;JYNT;EKSO;ROKU;ZS,GH,ZS,-0.04958302232448669,-0.0513005287762129,-0.051325528776212895,2.5e-05,0,0.0,3,1,0.3333333333333333
B,0,2019-04-11,2019-04-10,2019-04-26,2019-04-25,TRAIN,10,20,1,0.05,RIOT;JYNT;VYGR;PED;OESX;SNAP;YETI;LSCC;SRAX;GFF;SPRO;PLUG;MGTX;IIPR;XRX;LNTH;VCYT;SMSI;EKSO;EHTH,RIOT;JYNT;VYGR;PED;SNAP;YETI;LSCC;SRAX;GFF;SPRO;PLUG;MGTX;IIPR;XRX;LNTH;VCYT;SMSI;EKSO;EHTH;SBGI,OESX,SBGI,-0.04408775595895055,-0.043105077454811694,-0.04313007745481169,2.5e-05,0,0.0,2,0,0.0
B,0,2019-04-26,2019-04-25,2019-05-10,2019-05-09,TRAIN,10,20,1,0.05,RIOT;GLOW;VYGR;JYNT;YETI;PLUG;SNES;TGTX;MGTX;SAFE;OESX;SNAP;GERN;EOLS;FLGT;VSAT;VCTR;HEI.A;LSCC;MXL,RIOT;GLOW;VYGR;JYNT;YETI;PLUG;SNES;TGTX;MGTX;OESX;SNAP;GERN;EOLS;FLGT;VSAT;VCTR;HEI.A;LSCC;MXL;MRCY,SAFE,MRCY,-0.039904840009277846,-0.04131632054942148,-0.041341320549421474,2.5e-05,0,0.0,1,0,0.0
B,0,2019-05-10,2019-05-09,2019-05-24,2019-05-23,TRAIN,10,20,2,0.1,GLOW;VYGR;JYNT;SBGI;SNES;TGTX;STNG;SAFE;PI;LSCC;STRA;FLNT;SMSI;PLUG;OESX;VCTR;RMTI;VRRM;PLNT;NTRP,GLOW;VYGR;JYNT;SNES;TGTX;STNG;SAFE;PI;LSCC;STRA;FLNT;SMSI;PLUG;OESX;RMTI;VRRM;PLNT;NTRP;SPB;PPC,SBGI;VCTR,PPC;SPB,-0.05233394302319867,-0.05440027153052983,-0.05445027153052983,5e-05,1,0.5,1,0,0.0
B,0,2019-05-24,2019-05-23,2019-06-10,2019-06-07,TRAIN,10,20,6,0.3,RAVE;LTBR;RDVT;OESX;SAFE;SBGI;MGTX;SNES;VYGR;LMB;PPC;SMSI;FLY;STRA;GLOW;IDN;VCTR;PLNT;KOD;NC,RAVE;LTBR;SAFE;MGTX;SNES;VYGR;LMB;PPC;SMSI;FLY;STRA;IDN;VCTR;NC;USAU;REED;LOGC;LAD;ZS;KNSL,GLOW;KOD;OESX;PLNT;RDVT;SBGI,KNSL;LAD;LOGC;REED;USAU;ZS,-0.022206091007113998,-0.04090664873962757,-0.04105664873962757,0.00015000000000000001,1,0.16666666666666666,2,2,1.0
B,0,2019-06-10,2019-06-07,2019-06-24,2019-06-21,TRAIN,10,20,3,0.15,OESX;IDN;KOOL;RAVE;NTRP;RDVT;SAFE;STNG;KRYS;HEI;NSSC;KOD;SRAX;KTOS;ELF;SAH;LAD;STRA;LPG;PPC,IDN;RAVE;NTRP;RDVT;STNG;KRYS;HEI;NSSC;KOD;SRAX;KTOS;ELF;SAH;LAD;STRA;LPG;PPC;LMB;RLI;VEEV,KOOL;OESX;SAFE,LMB;RLI;VEEV,0.005715944822100508,0.017152790251182787,0.01707779025118279,7.500000000000001e-05,0,0.0,4,1,0.25
B,0,2019-06-24,2019-06-21,2019-07-09,2019-07-08,TRAIN,10,20,2,0.1,OESX;KOOL;KOD;RDVT;RFL;SNDX;SPWR;SAH;IDN;GLOB;SRAX;MTC;HFFG;LAD;HEI;HLNE;SKY;KTOS;STRA;LPG,OESX;KOOL;KOD;RDVT;RFL;SNDX;IDN;GLOB;SRAX;MTC;HFFG;LAD;HEI;HLNE;SKY;KTOS;STRA;LPG;SAFE;KBR,SAH;SPWR,KBR;SAFE,0.06230707234708303,0.05827984127566278,0.05822984127566278,5e-05,0,0.0,4,0,0.0
B,0,2019-07-09,2019-07-08,2019-07-23,2019-07-22,TRAIN,10,20,1,0.05,MTC;KOOL;KOD;HROW;PI;OESX;ENLV;KTOS;ROKU;EMMS;IDT;ZYME;RDVT;SPWR;SAM;LOOP;GNE;SNDX;RGEN;RFL,MTC;KOOL;KOD;HROW;PI;OESX;ENLV;KTOS;ROKU;EMMS;IDT;ZYME;RDVT;SPWR;SAM;LOOP;GNE;SNDX;RGEN;KNSL,RFL,KNSL,-0.0018722383812231707,-0.0011001483688047374,-0.0011251483688047375,2.5e-05,0,0.0,2,0,0.0
B,0,2019-07-23,2019-07-22,2019-08-06,2019-08-05,TRAIN,10,20,1,0.05,ENLV;MTC;KOD;KOOL;PAGS;USAS;EGO;SLP;RDVT;KTOS;ROKU;NVCR;HROW;ELLO;RGEN;SNGX;RGLD;IDT;SAM;EMMS,ENLV;MTC;KOD;PAGS;USAS;EGO;SLP;RDVT;KTOS;ROKU;NVCR;HROW;ELLO;RGEN;SNGX;RGLD;IDT;SAM;EMMS;SAH,KOOL,SAH,-0.06446794485691935,-0.05466467930412441,-0.054689679304124404,2.5e-05,1,1.0,0,0,
B,0,2019-08-06,2019-08-05,2019-08-20,2019-08-19,TRAIN,10,20,6,0.3,REKR;EGO;KOOL;NVCR;RDVT;LOOP;PAGS;USAS;KGC;RGLD;SLP;ELLO;HROW;MTC;IAG;VGZ;ENLV;SPWR;SSRM;PLMR,REKR;EGO;NVCR;RDVT;LOOP;PAGS;USAS;ELLO;HROW;MTC;IAG;VGZ;ENLV;PLMR;PERI;ZG;GOLD;ROKU;MTSI;Z,KGC;KOOL;RGLD;SLP;SPWR;SSRM,GOLD;MTSI;PERI;ROKU;Z;ZG,-0.0534717591272507,-0.048128242921549415,-0.04827824292154941,0.00015000000000000001,0,0.0,0,0,
