arm,phase,split,n_cycles,top_n,cagr_baseline,cagr_arm_cost_adj,mdd_baseline,mdd_arm_cost_adj,sharpe_baseline,sharpe_arm_cost_adj,cvar5_baseline,cvar5_arm,cvar10_baseline,cvar10_arm,gate_activation_rate_mean,n_bloqueados_mean,churn_evitado_rate_mean,n_reentrants_baseline_mean,arm_catches_reentry_mean,recidiva_avoidance_rate_mean
B,0,TRAIN,106,20,-0.3869259193133565,-0.3383798375753718,-0.8559619425323924,-0.8164455085296825,-4.011237886412108,-3.447000598096675,-0.1931317742113934,-0.19784916163804786,-0.16111147278342544,-0.16362413558358935,0.13160377358490566,2.6320754716981134,0.17666217430368372,1.8018867924528301,0.25471698113207547,0.13543083900226757
B,1,TRAIN,106,20,-0.4100108017880365,-0.3107678603179359,-0.8816279648161092,-0.7777277081241574,-4.664270461088495,-3.688385469768505,-0.18492570259159172,-0.14799059886841542,-0.1568175764308608,-0.13189661100007213,0.1278301886792453,2.556603773584906,0.12074722970949386,2.0377358490566038,0.32075471698113206,0.13894927536231885
B,2,TRAIN,106,20,-0.44699299574372775,-0.365750933167144,-0.9107577479618902,-0.8552388416041218,-4.903080402368438,-3.863372091758765,-0.20953024592282024,-0.20233026760370545,-0.17496574927620487,-0.16313319587862365,0.12169811320754717,2.4339622641509435,0.12489517819706498,1.8018867924528301,0.2830188679245283,0.15187675070028012
B,3,TRAIN,106,20,-0.44231890484379155,-0.3023674626852374,-0.9124191516803934,-0.7827715055484681,-4.429658395829518,-2.9014953774153387,-0.23682259238470213,-0.19926641957133437,-0.1925424046169425,-0.16525100209561014,0.1207547169811321,2.4150943396226414,0.1293238993710692,1.6320754716981132,0.20754716981132076,0.11174242424242423
B,4,TRAIN,106,20,-0.47030394006793275,-0.3243641652621513,-0.9292734699078791,-0.8048862463452859,-4.3617294965079365,-2.8727269250201113,-0.25266990689662056,-0.21292935062513887,-0.20444242451841213,-0.17620013812716456,0.13679245283018868,2.7358490566037736,0.18908355795148246,1.7830188679245282,0.3018867924528302,0.1683333333333333
B,5,TRAIN,106,20,-0.49632418938339395,-0.37516803966938217,-0.9432814298527595,-0.8831956115618773,-4.997726793125506,-3.3021570691790525,-0.22756402801157946,-0.21689647237876977,-0.18952297155672634,-0.1784864532170067,0.1429245283018868,2.858490566037736,0.16617148574695742,1.8584905660377358,0.3018867924528302,0.1395582329317269
B,6,TRAIN,106,20,-0.4302417043358492,-0.3369464879315355,-0.9095260115305254,-0.8777506188867369,-4.101111263253997,-2.7413241132690636,-0.23199981499726272,-0.24034719960221185,-0.18698938489594213,-0.19061056045677435,0.1349056603773585,2.69811320754717,0.1445754716981132,2.009433962264151,0.3490566037735849,0.17424242424242423
B,7,TRAIN,106,20,-0.3689508007019585,-0.2976660047126669,-0.8550689592436078,-0.824553913444239,-3.2576761983222595,-2.5571733895947455,-0.2325622105690992,-0.2256379840907644,-0.1807085245518509,-0.1755373785866112,0.13726415094339625,2.7452830188679247,0.187848158131177,2.1037735849056602,0.41509433962264153,0.22166666666666665
B,8,TRAIN,106,20,-0.4339456232083314,-0.4176884643206218,-0.9053349212371716,-0.8937701443100398,-4.180388164931295,-4.142569132551045,-0.236217025518863,-0.24647096525174841,-0.18543625092479152,-0.1809574983253352,0.13679245283018868,2.7358490566037736,0.16942946990116803,2.0660377358490565,0.4528301886792453,0.23716475095785441
B,9,TRAIN,105,20,-0.40551614105380784,-0.3662810851193605,-0.8850462172025374,-0.8505408617093011,-3.816523980651216,-3.4738467471670393,-0.22542600049852626,-0.23400472607160383,-0.18274227776035937,-0.1785664682023245,0.13333333333333333,2.6666666666666665,0.15474678760393046,1.7428571428571429,0.3047619047619048,0.14942528735632185
B_plus_C,0,TRAIN,106,20,-0.3869259193133565,-0.32462588202951015,-0.8559619425323924,-0.8236755350018491,-4.011237886412108,-3.75258367871822,-0.1931317742113934,-0.17873974434699832,-0.16111147278342544,-0.14513013706232014,0.44575471698113206,8.915094339622641,0.47714867679490325,1.8018867924528301,0.7924528301886793,0.4295918367346939
B_plus_C,1,TRAIN,106,20,-0.4100108017880365,-0.2956315323169948,-0.8816279648161092,-0.7602037564504752,-4.664270461088495,-3.6754097011548383,-0.18492570259159172,-0.1677362949200597,-0.1568175764308608,-0.13241279640590226,0.4235849056603773,8.471698113207546,0.47974711347352855,2.0377358490566038,0.9433962264150944,0.4867236024844721
B_plus_C,2,TRAIN,106,20,-0.44699299574372775,-0.29349093672680404,-0.9107577479618902,-0.817252898449258,-4.903080402368438,-3.0597495148844214,-0.20953024592282024,-0.18744907926122986,-0.17496574927620487,-0.15328916905551393,0.4268867924528302,8.537735849056604,0.48438425629740833,1.8018867924528301,0.8867924528301887,0.47103641456582634
B_plus_C,3,TRAIN,106,20,-0.44231890484379155,-0.30173077176558094,-0.9124191516803934,-0.7703953397565508,-4.429658395829518,-3.108170169462356,-0.23682259238470213,-0.17837619658903936,-0.1925424046169425,-0.15110633266291018,0.4160377358490566,8.320754716981131,0.49722005935241237,1.6320754716981132,0.7735849056603774,0.44375
B_plus_C,4,TRAIN,106,20,-0.47030394006793275,-0.2516178208036717,-0.9292734699078791,-0.726058389962672,-4.3617294965079365,-2.295974597362356,-0.25266990689662056,-0.18997760075403147,-0.20444242451841213,-0.1543498102513827,0.419811320754717,8.39622641509434,0.5130948561858661,1.7830188679245282,0.839622641509434,0.4658333333333333
