arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_BandExp,0,SW2,50,-0.20008192975780056,0.5745056764184892,0.175,-0.20073468601972136,0.13548842808156678
Arm_BandExp,1,SW2,50,-0.25184207520535423,0.49447180941580193,0.18100000000000002,-0.2656260604897001,-0.1152910468128588
Arm_BandExp,2,SW2,50,-0.21743051369051047,1.7794337503177913,0.175,-0.27564632823968277,-0.04720920086249189
Arm_BandExp,3,SW2,50,-0.22294176688291534,0.9419597729891304,0.185,-0.2547018846051643,0.24127196868471568
Arm_BandExp,4,SW2,50,-0.1882437671754709,1.5613202690458419,0.19599999999999995,-0.24464806205990627,0.15964018174215577
Arm_BandExp,5,SW2,50,-0.19792252262135968,0.4969641629132488,0.19599999999999998,-0.22184959777020433,-1.050491246448356
Arm_BandExp,6,SW2,50,-0.1908563258141699,-0.26598339628086487,0.196,-0.22025947846537944,-1.3542143399636026
Arm_BandExp,7,SW2,51,-0.1649337113775974,1.4796614822257965,0.1803921568627451,-0.18700647924530545,0.23216544745989073
Arm_BandExp,8,SW2,50,-0.18471558576979763,1.471510901809646,0.17199999999999996,-0.19751545097843637,1.8338499230323018
Arm_BandExp,9,SW2,50,-0.18298304683049935,0.6416441580040181,0.176,-0.16539274826989464,-0.09650450333945265
Baseline,0,SW2,50,-0.20073468601972136,0.13548842808156678,0.0,-0.20073468601972136,0.13548842808156678
Baseline,1,SW2,50,-0.2656260604897001,-0.1152910468128588,0.0,-0.2656260604897001,-0.1152910468128588
Baseline,2,SW2,50,-0.27564632823968277,-0.04720920086249189,0.0,-0.27564632823968277,-0.04720920086249189
Baseline,3,SW2,50,-0.2547018846051643,0.24127196868471568,0.0,-0.2547018846051643,0.24127196868471568
Baseline,4,SW2,50,-0.24464806205990627,0.15964018174215577,0.0,-0.24464806205990627,0.15964018174215577
Baseline,5,SW2,50,-0.22184959777020433,-1.050491246448356,0.0,-0.22184959777020433,-1.050491246448356
Baseline,6,SW2,50,-0.22025947846537944,-1.3542143399636026,0.0,-0.22025947846537944,-1.3542143399636026
Baseline,7,SW2,51,-0.18700647924530545,0.23216544745989073,0.0,-0.18700647924530545,0.23216544745989073
Baseline,8,SW2,50,-0.19751545097843637,1.8338499230323018,0.0,-0.19751545097843637,1.8338499230323018
Baseline,9,SW2,50,-0.16539274826989464,-0.09650450333945265,0.0,-0.16539274826989464,-0.09650450333945265
