arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_Dupla,0,TRAIN,31,-0.15248092058234786,-4.6507900719461945,0.0016129032258064516,-0.15248092058234786,-4.738762055537464
Arm_Dupla,1,TRAIN,31,-0.14113210327792752,-4.110237057638867,0.0032258064516129032,-0.14113210327792752,-4.238257449053281
Arm_Dupla,2,TRAIN,31,-0.11560517651834157,-4.193228850695704,0.0016129032258064516,-0.11560517651834157,-4.328719018528909
Arm_Dupla,3,TRAIN,30,-0.12204492060034108,-3.915669428463857,0.0,-0.12204492060034108,-3.915669428463857
Arm_Dupla,4,TRAIN,30,-0.12419118206353948,-4.115194052141387,0.0,-0.12419118206353948,-4.115194052141387
Arm_Dupla,5,TRAIN,30,-0.1507763732352861,-4.113831178806881,0.0,-0.1507763732352861,-4.113831178806881
Arm_Dupla,6,TRAIN,30,-0.1580315826291539,-4.130611128111281,0.0,-0.1580315826291539,-4.130611128111281
Arm_Dupla,7,TRAIN,30,-0.13235533517226827,-4.98198191388749,0.0,-0.13235533517226827,-4.98198191388749
Arm_Dupla,8,TRAIN,30,-0.12295042714842108,-3.638769159038787,0.0,-0.12295042714842108,-3.638769159038787
Arm_Dupla,9,TRAIN,30,-0.150753349809934,-3.9080893158481342,0.0,-0.150753349809934,-3.9080893158481342
Arm_Dupla_Ret62Puro,0,TRAIN,31,-0.14883703393599407,-4.937477092246811,0.014516129032258065,-0.15248092058234786,-4.738762055537464
Arm_Dupla_Ret62Puro,1,TRAIN,31,-0.14113210327792752,-4.055172608686903,0.019354838709677424,-0.14113210327792752,-4.238257449053281
Arm_Dupla_Ret62Puro,2,TRAIN,31,-0.11560517651834157,-4.369816701082737,0.014516129032258063,-0.11560517651834157,-4.328719018528909
Arm_Dupla_Ret62Puro,3,TRAIN,30,-0.11882300149307709,-3.8144813388963956,0.011666666666666665,-0.12204492060034108,-3.915669428463857
Arm_Dupla_Ret62Puro,4,TRAIN,30,-0.12419118206353948,-3.9494876497336655,0.011666666666666665,-0.12419118206353948,-4.115194052141387
Arm_Dupla_Ret62Puro,5,TRAIN,30,-0.1507763732352861,-4.135600108919624,0.0033333333333333335,-0.1507763732352861,-4.113831178806881
Arm_Dupla_Ret62Puro,6,TRAIN,30,-0.1580315826291539,-4.222745650617715,0.0033333333333333335,-0.1580315826291539,-4.130611128111281
Arm_Dupla_Ret62Puro,7,TRAIN,30,-0.13235533517226827,-4.867863345693084,0.005000000000000001,-0.13235533517226827,-4.98198191388749
Arm_Dupla_Ret62Puro,8,TRAIN,30,-0.12295042714842108,-3.698217625199926,0.006666666666666667,-0.12295042714842108,-3.638769159038787
Arm_Dupla_Ret62Puro,9,TRAIN,30,-0.1492240011379649,-4.119293573690264,0.011666666666666665,-0.150753349809934,-3.9080893158481342
Baseline_C4puro,0,TRAIN,31,-0.15248092058234786,-4.738762055537464,0.0,-0.15248092058234786,-4.738762055537464
Baseline_C4puro,1,TRAIN,31,-0.14113210327792752,-4.238257449053281,0.0,-0.14113210327792752,-4.238257449053281
Baseline_C4puro,2,TRAIN,31,-0.11560517651834157,-4.328719018528909,0.0,-0.11560517651834157,-4.328719018528909
Baseline_C4puro,3,TRAIN,30,-0.12204492060034108,-3.915669428463857,0.0,-0.12204492060034108,-3.915669428463857
Baseline_C4puro,4,TRAIN,30,-0.12419118206353948,-4.115194052141387,0.0,-0.12419118206353948,-4.115194052141387
Baseline_C4puro,5,TRAIN,30,-0.1507763732352861,-4.113831178806881,0.0,-0.1507763732352861,-4.113831178806881
Baseline_C4puro,6,TRAIN,30,-0.1580315826291539,-4.130611128111281,0.0,-0.1580315826291539,-4.130611128111281
Baseline_C4puro,7,TRAIN,30,-0.13235533517226827,-4.98198191388749,0.0,-0.13235533517226827,-4.98198191388749
Baseline_C4puro,8,TRAIN,30,-0.12295042714842108,-3.638769159038787,0.0,-0.12295042714842108,-3.638769159038787
Baseline_C4puro,9,TRAIN,30,-0.150753349809934,-3.9080893158481342,0.0,-0.150753349809934,-3.9080893158481342
