arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_BandExpRet62,0,TRAIN,31,-0.14883703393599407,-4.937477092246811,0.014516129032258065,-0.15248092058234786,-4.738762055537464
Arm_BandExpRet62,1,TRAIN,31,-0.14113210327792752,-4.055172608686903,0.019354838709677424,-0.14113210327792752,-4.238257449053281
Arm_BandExpRet62,2,TRAIN,31,-0.11560517651834157,-4.369816701082737,0.014516129032258063,-0.11560517651834157,-4.328719018528909
Arm_BandExpRet62,3,TRAIN,30,-0.11882300149307709,-3.8144813388963956,0.011666666666666665,-0.12204492060034108,-3.915669428463857
Arm_BandExpRet62,4,TRAIN,30,-0.12419118206353948,-3.9494876497336655,0.011666666666666665,-0.12419118206353948,-4.115194052141387
Arm_BandExpRet62,5,TRAIN,30,-0.1507763732352861,-4.135600108919624,0.0033333333333333335,-0.1507763732352861,-4.113831178806881
Arm_BandExpRet62,6,TRAIN,30,-0.1580315826291539,-4.222745650617715,0.0033333333333333335,-0.1580315826291539,-4.130611128111281
Arm_BandExpRet62,7,TRAIN,30,-0.13235533517226827,-4.867863345693084,0.005000000000000001,-0.13235533517226827,-4.98198191388749
Arm_BandExpRet62,8,TRAIN,30,-0.12295042714842108,-3.698217625199926,0.006666666666666667,-0.12295042714842108,-3.638769159038787
Arm_BandExpRet62,9,TRAIN,30,-0.1492240011379649,-4.119293573690264,0.011666666666666665,-0.150753349809934,-3.9080893158481342
Arm_BandExp_Isolado,0,TRAIN,31,-0.14825738217481285,-4.937130231963411,0.08064516129032255,-0.15248092058234786,-4.738762055537464
Arm_BandExp_Isolado,1,TRAIN,31,-0.14757889318398354,-4.024659400239708,0.06935483870967743,-0.14113210327792752,-4.238257449053281
Arm_BandExp_Isolado,2,TRAIN,31,-0.1063465132782053,-3.7663305086122105,0.06935483870967742,-0.11560517651834157,-4.328719018528909
Arm_BandExp_Isolado,3,TRAIN,30,-0.11900114724692565,-3.8628262907094792,0.07166666666666668,-0.12204492060034108,-3.915669428463857
Arm_BandExp_Isolado,4,TRAIN,30,-0.1300299295967839,-3.812089030896912,0.07666666666666667,-0.12419118206353948,-4.115194052141387
Arm_BandExp_Isolado,5,TRAIN,30,-0.16370392474029505,-3.6896385830647858,0.07166666666666667,-0.1507763732352861,-4.113831178806881
Arm_BandExp_Isolado,6,TRAIN,30,-0.1614246367471242,-4.019760504603114,0.0733333333333333,-0.1580315826291539,-4.130611128111281
Arm_BandExp_Isolado,7,TRAIN,30,-0.1307720108372105,-5.594352078715263,0.08666666666666664,-0.13235533517226827,-4.98198191388749
Arm_BandExp_Isolado,8,TRAIN,30,-0.12498432884832104,-3.190978860196091,0.09833333333333333,-0.12295042714842108,-3.638769159038787
Arm_BandExp_Isolado,9,TRAIN,30,-0.12627907226051438,-3.315393526047194,0.08166666666666665,-0.150753349809934,-3.9080893158481342
Arm_Ret62_Isolado,0,TRAIN,31,-0.14676708684772344,-4.792268941456731,0.02580645161290323,-0.15248092058234786,-4.738762055537464
Arm_Ret62_Isolado,1,TRAIN,31,-0.13948614714121768,-3.962738979682892,0.03387096774193549,-0.14113210327792752,-4.238257449053281
Arm_Ret62_Isolado,2,TRAIN,31,-0.10949369188937544,-3.7966934610941987,0.03225806451612903,-0.11560517651834157,-4.328719018528909
Arm_Ret62_Isolado,3,TRAIN,30,-0.1131732585873278,-3.6439941876007054,0.020000000000000004,-0.12204492060034108,-3.915669428463857
