arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
Zero-A,SW2,511,52,657841.2126396206,-0.147748167927371,0.7710391435106819,0.0,15.771037181996086,0.0,5.791669337038229,0,0.0,0
Zero-B,SW2,511,52,288549.05765935674,-0.07252793458747349,1.1565041685954967,0.028669275929549907,15.489236790606654,0.0,15.254352878456013,293,5.634615384615385,0
A1,SW2,511,52,293181.3986239958,-0.07411010088625952,1.1445450862874402,0.029745596868884547,15.301369863013699,0.0,15.351216776428398,304,5.846153846153846,0
A2,SW2,511,52,282260.6863375317,-0.07338839834764856,1.1389754580569285,0.036203522504892366,15.804305283757339,1.761252446183953,15.752384118298703,370,7.115384615384615,0
Zero-A,SW2,511,52,385733.57993037294,-0.13798661698452366,0.6036534682277185,0.0,16.53033268101761,0.0,6.2864471320088695,0,0.0,1
Zero-B,SW2,511,52,297268.19478355284,-0.07132958097722315,1.1250662965255027,0.027592954990215267,15.733855185909981,0.0,15.242863740481399,282,5.423076923076923,1
A1,SW2,511,52,279777.1223938796,-0.07044162160932833,1.0971088008464462,0.028962818003913895,15.684931506849315,0.0,15.535957006882153,296,5.6923076923076925,1
A2,SW2,511,52,284066.56916240323,-0.07384871318800147,1.150834043038945,0.03610567514677104,15.708414872798434,1.1741682974559686,15.691335047441635,369,7.096153846153846,1
Zero-A,SW2,511,52,308702.55393510876,-0.12714062921411,0.5132219368783929,0.0,16.67514677103718,0.0,6.448245738875398,0,0.0,2
Zero-B,SW2,511,52,257279.02433480657,-0.07261156720453289,0.7894102003667147,0.027495107632093934,15.61839530332681,0.0,15.155996257263816,281,5.403846153846154,2
A1,SW2,511,52,272239.3597837228,-0.07201897602292365,0.8551697779511903,0.027886497064579255,15.567514677103718,0.0,15.374720384211315,285,5.480769230769231,2
A2,SW2,511,52,243309.47011090216,-0.07503835103196471,0.9633168858524809,0.03444227005870842,16.041095890410958,1.1741682974559686,15.713800311258186,352,6.769230769230769,2
Zero-A,SW2,511,52,409213.8760704116,-0.135269077923317,0.6337295351868909,0.0,15.923679060665362,0.0,6.1148064724369835,0,0.0,3
Zero-B,SW2,511,52,295150.1346323284,-0.07015702996881025,1.2863963845382278,0.02671232876712329,15.931506849315069,0.0,14.800743953658682,273,5.25,3
A1,SW2,511,52,294211.54587803193,-0.07024618636116095,1.2847434009935836,0.027886497064579255,15.692759295499021,0.0,15.066278216705713,285,5.480769230769231,3
A2,SW2,511,52,299323.83213168406,-0.07119167183514136,1.233886941455278,0.033855185909980434,16.027397260273972,1.36986301369863,15.161138805576059,346,6.653846153846154,3
Zero-A,SW2,511,52,379355.6851063856,-0.13299742424518796,0.671987746689713,0.0,15.859099804305284,0.0,6.036036830608336,0,0.0,4
Zero-B,SW2,511,52,527317.5994313121,-0.07430982241177822,1.4867255105297366,0.027886497064579255,15.571428571428571,0.0,15.035067650252193,285,5.480769230769231,4
