arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
Zero-A,TRAIN,503,45,71386.11281413272,-0.04514201308739732,-0.5628531476317155,0.0,17.63220675944334,12.524850894632205,8.133876303704895,0,0.0,0
Zero-B,TRAIN,503,45,71012.49264134454,-0.047581938092303634,-0.5583295903162239,0.025447316103379723,14.371769383697814,12.524850894632205,13.810188482265461,256,5.688888888888889,0
A1,TRAIN,503,45,71012.49264134454,-0.047581938092303634,-0.5583295903162239,0.025447316103379723,14.371769383697814,12.524850894632205,13.810188482265461,256,5.688888888888889,0
A2,TRAIN,503,45,68456.78204892963,-0.0472371646740382,-0.6252763572497724,0.029125248508946325,15.107355864811133,12.524850894632205,14.00868955407478,293,6.511111111111111,0
Zero-A,TRAIN,503,45,74752.74701696949,-0.04550568910550755,-0.46987917317036043,0.0,17.624254473161034,12.72365805168986,8.206788172795926,0,0.0,1
Zero-B,TRAIN,503,45,80724.47684638397,-0.04815591557076529,-0.3320476965854065,0.0231610337972167,14.506958250497018,12.72365805168986,13.212278111131164,233,5.177777777777778,1
A1,TRAIN,503,45,80724.47684638397,-0.04815591557076529,-0.3320476965854065,0.0231610337972167,14.506958250497018,12.72365805168986,13.212278111131164,233,5.177777777777778,1
A2,TRAIN,503,45,73916.8521213394,-0.04565769963370877,-0.49402444648639615,0.025646123260437376,15.296222664015904,12.72365805168986,13.28828274038096,258,5.733333333333333,1
Zero-A,TRAIN,503,45,84034.67635488126,-0.04594366182698779,-0.28399011382905986,0.0,17.433399602385688,12.922465208747516,8.086539514906116,0,0.0,2
Zero-B,TRAIN,503,45,98089.19818222453,-0.04572697108769405,-0.030797716000905275,0.02375745526838966,14.423459244532804,12.922465208747516,13.50462860473461,239,5.311111111111111,2
A1,TRAIN,503,45,98089.19818222453,-0.04572697108769405,-0.030797716000905275,0.02375745526838966,14.423459244532804,12.922465208747516,13.50462860473461,239,5.311111111111111,2
