arm,threshold,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_A_0.80,0.8,0,TRAIN,106,-0.1276760469349696,-1.9212696086626835,0.2023584905660377,-0.15135741582972542,-1.6491470173703702
Arm_A_0.80,0.8,1,TRAIN,106,-0.14324917828419523,-1.0626637649608166,0.20471698113207545,-0.15477363167471384,-0.6217374131406778
Arm_A_0.80,0.8,2,TRAIN,106,-0.16536802742272275,-1.3015242898675035,0.20188679245283017,-0.18647976315102774,-1.6244654405333132
Arm_A_0.80,0.8,3,TRAIN,106,-0.1420571855256583,-1.240024921181835,0.2028301886792453,-0.18345416234587975,-1.9977388704424257
Arm_A_0.80,0.8,4,TRAIN,106,-0.1715261389876707,-1.934236868758263,0.19999999999999996,-0.2043210046802896,-1.8401902500066414
Arm_A_0.80,0.8,5,TRAIN,106,-0.15940735677333565,-0.5049294981591059,0.20094339622641508,-0.19031856877757938,-0.6553651434625942
Arm_A_0.80,0.8,6,TRAIN,106,-0.1859845359078339,-1.278310811699989,0.20188679245283014,-0.2035919191619122,-1.2402555285285506
Arm_A_0.80,0.8,7,TRAIN,106,-0.16542747371011343,-1.1638986169821293,0.2023584905660377,-0.1840867124208695,-0.7318365907439929
Arm_A_0.80,0.8,8,TRAIN,106,-0.15149498156391808,-1.373840663155253,0.2070754716981132,-0.16769754983533683,-1.3901768284734841
Arm_A_0.80,0.8,9,TRAIN,105,-0.13457750266586807,-1.0579429537252014,0.19999999999999996,-0.16714040468435634,-0.4147026615045923
Arm_A_0.90,0.9,0,TRAIN,106,-0.1259962322430486,-1.6235784072812913,0.15424528301886792,-0.15135741582972542,-1.6491470173703702
Arm_A_0.90,0.9,1,TRAIN,106,-0.1382092025741905,-1.1192540854117141,0.15754716981132075,-0.15477363167471384,-0.6217374131406778
Arm_A_0.90,0.9,2,TRAIN,106,-0.16684499771646055,-1.624360224301657,0.15707547169811323,-0.18647976315102774,-1.6244654405333132
Arm_A_0.90,0.9,3,TRAIN,106,-0.1467238754106043,-1.1966672642079936,0.1533018867924528,-0.18345416234587975,-1.9977388704424257
Arm_A_0.90,0.9,4,TRAIN,106,-0.1697697228506673,-1.488875800103644,0.1490566037735849,-0.2043210046802896,-1.8401902500066414
Arm_A_0.90,0.9,5,TRAIN,106,-0.17073034573522428,-0.7060033948114156,0.15330188679245282,-0.19031856877757938,-0.6553651434625942
Arm_A_0.90,0.9,6,TRAIN,106,-0.19003157856025973,-1.4287091830197662,0.14716981132075468,-0.2035919191619122,-1.2402555285285506
Arm_A_0.90,0.9,7,TRAIN,106,-0.17590823350037144,-1.6565891313647132,0.1589622641509434,-0.1840867124208695,-0.7318365907439929
Arm_A_0.90,0.9,8,TRAIN,106,-0.1423196252543861,-1.5747566151170225,0.15943396226415096,-0.16769754983533683,-1.3901768284734841
Arm_A_0.90,0.9,9,TRAIN,105,-0.12707895475313966,-0.7542465118185278,0.16142857142857142,-0.16714040468435634,-0.4147026615045923
Arm_A_1.00,1.0,0,TRAIN,106,-0.12170046786889495,-1.5174493965596234,0.12783018867924528,-0.15135741582972542,-1.6491470173703702
Arm_A_1.00,1.0,1,TRAIN,106,-0.13822325857876508,-1.126133857925915,0.12641509433962264,-0.15477363167471384,-0.6217374131406778
Arm_A_1.00,1.0,2,TRAIN,106,-0.17232271651902883,-1.279990163040867,0.11981132075471701,-0.18647976315102774,-1.6244654405333132
Arm_A_1.00,1.0,3,TRAIN,106,-0.1458404902063107,-1.3246219894207958,0.12216981132075473,-0.18345416234587975,-1.9977388704424257
Arm_A_1.00,1.0,4,TRAIN,106,-0.17251663480197008,-1.2374650566805885,0.11792452830188678,-0.2043210046802896,-1.8401902500066414
