arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_spc_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_1.00,0,2018-10-17,2018-10-16,2018-10-31,2018-10-30,TRAIN,0,10,20,1,0.05,0,TLRY;KALV;GOGO;ICL;FEIM;SSP;IAC;PLAY;EEFT;ULH;HCKT;FLS;MKC.V;NXRT;UVE;IIPR;RLGT;KWR;VIAV;HLIT,KALV;GOGO;ICL;FEIM;SSP;IAC;PLAY;EEFT;ULH;HCKT;FLS;MKC.V;NXRT;UVE;IIPR;RLGT;KWR;VIAV;HLIT;HP,TLRY,HP,-0.07729372084093676,-0.05463245006057558,-0.054657450060575576,2.5e-05
Arm_A_1.00,0,2018-10-31,2018-10-30,2018-11-14,2018-11-13,TRAIN,0,10,20,1,0.05,0,TLRY;GOGO;KALV;MGTX;IIIV;LQDA;RLGT;SBH;LRN;MKC.V;SSP;FEIM;IAC;NVAX;ZBIO;KIDS;NXRT;PLAY;JJSF;IIPR,GOGO;KALV;MGTX;IIIV;LQDA;RLGT;SBH;LRN;MKC.V;SSP;FEIM;IAC;NVAX;ZBIO;KIDS;NXRT;PLAY;JJSF;IIPR;IDT,TLRY,IDT,0.005030520539732063,-0.0019763566997393436,-0.0020013566997393434,2.5e-05
Arm_A_1.00,0,2018-11-14,2018-11-13,2018-11-29,2018-11-28,TRAIN,0,10,20,1,0.05,0,TLRY;SLS;RLGT;SBH;NWPX;PACB;LRN;RGEN;MGTX;GOGO;IIPR;MKC.V;NAT;LOCO;ICL;SSRM;GOLD;FEIM;IDT;SRRK,SLS;RLGT;SBH;NWPX;PACB;LRN;RGEN;MGTX;GOGO;IIPR;MKC.V;NAT;LOCO;ICL;SSRM;GOLD;FEIM;IDT;SRRK;NAK,TLRY,NAK,-0.013226628513635466,-0.008026388823777864,-0.008051388823777865,2.5e-05
Arm_A_1.00,0,2018-11-29,2018-11-28,2018-12-14,2018-12-13,TRAIN,0,10,20,0,0.0,0,LRN;IDT;SBH;TR;MITK;NAT;NWPX;HELE;MKC.V;GHC;FEIM;GOLD;PACB;LOCO;RLGT;SAFE;SSRM;EEFT;TMQ;VCTR,LRN;IDT;SBH;TR;MITK;NAT;NWPX;HELE;MKC.V;GHC;FEIM;GOLD;PACB;LOCO;RLGT;SAFE;SSRM;EEFT;TMQ;VCTR,,,-0.03673604836599663,-0.03673604836599663,-0.03673604836599663,0.0
Arm_A_1.00,0,2018-12-14,2018-12-13,2018-12-31,2018-12-28,TRAIN,0,10,20,0,0.0,0,GOLD;NVAX;MITK;SSRM;GNE;LRN;RDVT;MKC.V;TR;FNV;GHC;YORW;ENSG;HE;NWPX;KRYS;FEIM;VIRT;HELE;IIPR,GOLD;NVAX;MITK;SSRM;GNE;LRN;RDVT;MKC.V;TR;FNV;GHC;YORW;ENSG;HE;NWPX;KRYS;FEIM;VIRT;HELE;IIPR,,,-0.07319488217929573,-0.07319488217929573,-0.07319488217929573,0.0
Arm_A_1.00,0,2018-12-31,2018-12-28,2019-01-15,2019-01-14,TRAIN,0,10,20,0,0.0,0,ZBIO;MITK;LRN;SSRM;UTI;VIRT;TR;MLAB;GHC;HYAC;GIG;GOLD;HLF;TFSL;NWPX;FNV;KGC;LOCO;MKC.V;HE,ZBIO;MITK;LRN;SSRM;UTI;VIRT;TR;MLAB;GHC;HYAC;GIG;GOLD;HLF;TFSL;NWPX;FNV;KGC;LOCO;MKC.V;HE,,,-0.10449814683487116,-0.10449814683487116,-0.10449814683487116,0.0
Arm_A_1.00,0,2019-01-15,2019-01-14,2019-01-30,2019-01-29,TRAIN,0,10,20,0,0.0,0,UTI;LRN;PACB;GNE;MITK;LQDT;LGIH;MLAB;VCTR;VCYT;KRYS;LOCO;RDVT;LION;TFSL;PKE;PFGC;GHC;GNTX;IIPR,UTI;LRN;PACB;GNE;MITK;LQDT;LGIH;MLAB;VCTR;VCYT;KRYS;LOCO;RDVT;LION;TFSL;PKE;PFGC;GHC;GNTX;IIPR,,,0.0260926568164943,0.0260926568164943,0.0260926568164943,0.0
Arm_A_1.00,0,2019-01-30,2019-01-29,2019-02-13,2019-02-12,TRAIN,0,10,20,0,0.0,0,GNE;VCYT;MITK;GLOB;NVCR;UTI;LRN;NAK;SANM;PKE;SSRM;RDVT;VCTR;IIPR;LGIH;LION;PACB;ROAD;ENTG;NWL,GNE;VCYT;MITK;GLOB;NVCR;UTI;LRN;NAK;SANM;PKE;SSRM;RDVT;VCTR;IIPR;LGIH;LION;PACB;ROAD;ENTG;NWL,,,0.00823790617670756,0.00823790617670756,0.00823790617670756,0.0
Arm_A_1.00,0,2019-02-13,2019-02-12,2019-02-28,2019-02-27,TRAIN,0,10,20,0,0.0,0,NVCR;PAR;LGIH;PNRG;LRN;LSCC;IIPR;SSRM;LION;THM;ICHR;GFF;NAK;PCTY;EEX;VECO;VHI;FLEX;MLAB;TMHC,NVCR;PAR;LGIH;PNRG;LRN;LSCC;IIPR;SSRM;LION;THM;ICHR;GFF;NAK;PCTY;EEX;VECO;VHI;FLEX;MLAB;TMHC,,,0.04519387313462299,0.04519387313462299,0.04519387313462299,0.0
Arm_A_1.00,0,2019-02-28,2019-02-27,2019-03-14,2019-03-13,TRAIN,0,10,20,0,0.0,0,LSCC;NVCR;VCYT;IIPR;TNDM;W;VHI;PNRG;OFLX;RPD;SMMT;PAR;GFF;LRN;LION;VIAV;THM;PDFS;SSNC;PCTY,LSCC;NVCR;VCYT;IIPR;TNDM;W;VHI;PNRG;OFLX;RPD;SMMT;PAR;GFF;LRN;LION;VIAV;THM;PDFS;SSNC;PCTY,,,-0.017309683540522924,-0.017309683540522924,-0.017309683540522924,0.0
