arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_A_1.00,0,TRAIN,106,-0.12170046786889495,-1.5174493965596234,0.12783018867924528,-0.15135741582972542,-1.6491470173703702
Arm_A_1.00,1,TRAIN,106,-0.13822325857876508,-1.126133857925915,0.12641509433962264,-0.15477363167471384,-0.6217374131406778
Arm_A_1.00,2,TRAIN,106,-0.17232271651902883,-1.279990163040867,0.11981132075471701,-0.18647976315102774,-1.6244654405333132
Arm_A_1.00,3,TRAIN,106,-0.1458404902063107,-1.3246219894207958,0.12216981132075473,-0.18345416234587975,-1.9977388704424257
Arm_A_1.00,4,TRAIN,106,-0.17251663480197008,-1.2374650566805885,0.11792452830188678,-0.2043210046802896,-1.8401902500066414
Arm_A_1.00,5,TRAIN,106,-0.17031309721575263,-0.7953737397175719,0.11650943396226417,-0.19031856877757938,-0.6553651434625942
Arm_A_1.00,6,TRAIN,106,-0.18851186560504093,-1.3369793064823765,0.11745283018867926,-0.2035919191619122,-1.2402555285285506
Arm_A_1.00,7,TRAIN,106,-0.17354419702602017,-1.5118884851822718,0.12028301886792453,-0.1840867124208695,-0.7318365907439929
Arm_A_1.00,8,TRAIN,106,-0.15004672598762625,-1.5920370298421571,0.12452830188679247,-0.16769754983533683,-1.3901768284734841
Arm_A_1.00,9,TRAIN,105,-0.13489875132339166,-0.7825770057069786,0.12666666666666668,-0.16714040468435634,-0.4147026615045923
Arm_A_1.00_SPC,0,TRAIN,106,-0.12170046786889495,-1.5174493965596234,0.12783018867924528,-0.15135741582972542,-1.6491470173703702
Arm_A_1.00_SPC,1,TRAIN,106,-0.13822325857876508,-1.126133857925915,0.12641509433962264,-0.15477363167471384,-0.6217374131406778
Arm_A_1.00_SPC,2,TRAIN,106,-0.17232271651902883,-1.279990163040867,0.11981132075471701,-0.18647976315102774,-1.6244654405333132
Arm_A_1.00_SPC,3,TRAIN,106,-0.1458404902063107,-1.3246219894207958,0.12216981132075473,-0.18345416234587975,-1.9977388704424257
Arm_A_1.00_SPC,4,TRAIN,106,-0.17251663480197008,-1.2374650566805885,0.11792452830188678,-0.2043210046802896,-1.8401902500066414
Arm_A_1.00_SPC,5,TRAIN,106,-0.17031309721575263,-0.7953737397175719,0.11650943396226417,-0.19031856877757938,-0.6553651434625942
Arm_A_1.00_SPC,6,TRAIN,106,-0.18851186560504093,-1.3369793064823765,0.11745283018867926,-0.2035919191619122,-1.2402555285285506
Arm_A_1.00_SPC,7,TRAIN,106,-0.17354419702602017,-1.5118884851822718,0.12028301886792453,-0.1840867124208695,-0.7318365907439929
Arm_A_1.00_SPC,8,TRAIN,106,-0.15004672598762625,-1.5920370298421571,0.12452830188679247,-0.16769754983533683,-1.3901768284734841
Arm_A_1.00_SPC,9,TRAIN,105,-0.13489875132339166,-0.7825770057069786,0.12666666666666668,-0.16714040468435634,-0.4147026615045923
Baseline,0,TRAIN,106,-0.15135741582972542,-1.6491470173703702,0.0,-0.15135741582972542,-1.6491470173703702
Baseline,1,TRAIN,106,-0.15477363167471384,-0.6217374131406778,0.0,-0.15477363167471384,-0.6217374131406778
Baseline,2,TRAIN,106,-0.18647976315102774,-1.6244654405333132,0.0,-0.18647976315102774,-1.6244654405333132
Baseline,3,TRAIN,106,-0.18345416234587975,-1.9977388704424257,0.0,-0.18345416234587975,-1.9977388704424257
Baseline,4,TRAIN,106,-0.2043210046802896,-1.8401902500066414,0.0,-0.2043210046802896,-1.8401902500066414
Baseline,5,TRAIN,106,-0.19031856877757938,-0.6553651434625942,0.0,-0.19031856877757938,-0.6553651434625942
Baseline,6,TRAIN,106,-0.2035919191619122,-1.2402555285285506,0.0,-0.2035919191619122,-1.2402555285285506
Baseline,7,TRAIN,106,-0.1840867124208695,-0.7318365907439929,0.0,-0.1840867124208695,-0.7318365907439929
Baseline,8,TRAIN,106,-0.16769754983533683,-1.3901768284734841,0.0,-0.16769754983533683,-1.3901768284734841
Baseline,9,TRAIN,105,-0.16714040468435634,-0.4147026615045923,0.0,-0.16714040468435634,-0.4147026615045923
