phase,date,d_prev,ticker,split,is_holdout,market_cap,eligible_300,raw_score_m3,raw_m3_rank,score_m3_dedup,rank_dedup,in_top20_dedup,score_m3_tilt,rank_tilt,in_top20_tilt,in_top20_baseline,ret_62,ret10_d_prev,forward_logret
0,2021-10-19,2021-10-18,REPL,TRAIN,0,705170166.2599999,1,-0.7966975868599486,982.0,-0.4383793059752541,741.0,0,-0.478409818520534,730.0,0,0,-0.12164064610300115,-0.01074917975110766,0.03972717049507658
0,2021-11-02,2021-11-01,REPL,TRAIN,0,705170166.2599999,1,-1.2761886623751881,1085.0,-0.6680213031060434,799.0,0,-0.6979482750244925,783.0,0,0,-0.12579299209733427,0.039727170495076486,0.06987963604420076
0,2021-11-16,2021-11-15,REPL,TRAIN,0,705170166.2599999,1,0.6429690139295914,589.0,0.40433593629777587,526.0,0,0.4871873656307561,553.0,0,0,0.11332868530700267,0.0698796360442006,-0.1481658001429605
0,2021-12-01,2021-11-30,REPL,TRAIN,0,705170166.2599999,1,-0.13787075175886326,857.0,0.0598749547528252,644.0,0,0.18868528538508203,636.0,0,0,-0.1554034674431917,-0.14816580014296055,-0.03755134565213236
0,2021-12-15,2021-12-14,REPL,TRAIN,0,705170166.2599999,1,-0.18930614901317813,879.0,0.021552203823307636,651.0,0,0.13775748215320435,632.0,0,0,-0.17353672723822205,-0.03755134565213207,-0.025467329515668994
0,2021-12-30,2021-12-29,REPL,TRAIN,0,705170166.2599999,1,-0.021204149351886664,854.0,0.07245936307397234,643.0,0,0.15552080082388803,637.0,0,0,-0.10259032708587101,-0.025467329515669056,-0.12190366332621067
0,2022-01-13,2022-01-12,REPL,TRAIN,0,705170166.2599999,1,-1.0961416513003512,1022.0,-0.5370506321779305,739.0,0,-0.5260304387056853,723.0,0,0,-0.272577009169384,-0.12190366332621051,-0.24416102096236075
0,2022-01-28,2022-01-27,REPL,TRAIN,0,705170166.2599999,1,-1.4319691049129821,1044.0,-0.7429678428629712,755.0,0,-0.7699511332694512,742.0,0,0,-0.47905953550801433,-0.24416102096236064,-0.032322726179390575
0,2022-02-11,2022-02-10,REPL,TRAIN,0,705170166.2599999,1,-2.7711726491816884,1228.0,-1.4182296021421712,835.0,0,-1.4508728796934984,813.0,0,0,-0.6296474663719157,-0.03232272617939051,-0.09025615777205404
0,2022-02-28,2022-02-25,REPL,TRAIN,0,705170166.2599999,1,-2.6099308279039413,1216.0,-1.3572362971926266,829.0,0,-1.4095071804332824,809.0,0,0,-0.5694049248844741,-0.09025615777205395,-0.0036630077587370352
