arm,frente,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,n_turnover,n_veto_or_turnover,veto_rate,turnover_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_150M,frente2_piso_tamanho,0,2021-10-19,2021-10-18,2021-11-02,2021-11-01,TRAIN,0,10,20,0,0,0,0.0,0.0,UPST;HUT;RSI;SPSC;LEU;ENTA;LC;HRI;WFRD;TIPT;LAC;VNOM;SITM;TNET;PCTY;FLNG;KOS;MNDY;GDYN;MGY,UPST;HUT;RSI;SPSC;LEU;ENTA;LC;HRI;WFRD;TIPT;LAC;VNOM;SITM;TNET;PCTY;FLNG;KOS;MNDY;GDYN;MGY,,,0.05531458580964751,0.05531458580964751,0.05531458580964751,0.0
Arm_150M,frente2_piso_tamanho,0,2021-11-02,2021-11-01,2021-11-16,2021-11-15,TRAIN,0,10,20,0,2,2,0.0,0.1,LEU;UPST;HUT;ENTA;RSI;SM;LAC;WFRD;ENVX;SITM;KOS;OCGN;LQDA;MGY;PBT;LOB;HRMY;SSYS;HRI;VET,LEU;UPST;HUT;ENTA;RSI;SM;LAC;LTRX;WFRD;ENVX;SITM;KOS;OCGN;LQDA;MGY;PBT;LOB;HRMY;ZNTL;SSYS,,LTRX;ZNTL,-0.01604109549113652,-0.020384140510226488,-0.02043414051022649,5e-05
Arm_150M,frente2_piso_tamanho,0,2021-11-16,2021-11-15,2021-12-01,2021-11-30,TRAIN,0,10,20,0,3,3,0.0,0.15,LEU;ENVX;SM;WFRD;HUT;ENTA;UUUU;LQDA;LAC;LOB;MTDR;PBF;REAX;KOS;RRC;LCID;PBT;EGY;WD;UROY,LEU;ENVX;SM;WFRD;HUT;ENTA;UUUU;LQDA;LAC;LOB;MTDR;LTRX;PBF;VERI;REAX;KOS;RRC;MRAM;LCID;PBT,,LTRX;MRAM;VERI,-0.07799904518639664,-0.07642934094807849,-0.0765043409480785,7.500000000000001e-05
Arm_150M,frente2_piso_tamanho,0,2021-12-01,2021-11-30,2021-12-15,2021-12-14,TRAIN,0,10,20,0,2,2,0.0,0.1,LCID;ENVX;REAX;PBT;LAC;WFRD;FLNG;LOB;LEU;VERA;ENTA;VET;KFRC;SAIA;SM;VG;WD;FMAO;IAG;FIX,LCID;ENVX;REAX;PBT;LAC;WFRD;FLNG;LOB;LEU;VERA;SJT;ENTA;VET;KFRC;SAIA;KROS;SM;VG;WD;FMAO,,KROS;SJT,-0.11152298203928938,-0.11929227196335053,-0.11934227196335052,5e-05
Arm_150M,frente2_piso_tamanho,0,2021-12-15,2021-12-14,2021-12-30,2021-12-29,TRAIN,0,10,20,0,1,1,0.0,0.05,REAX;PBT;FLR;VRDN;FIX;LOB;IMKTA;ENVX;LCID;UVE;MLI;REXR;LQDA;EGP;KNSL;ICL;FMAO;SMP;LAND;ROG,REAX;PBT;FLR;VRDN;FIX;LOB;IMKTA;ENVX;MRBK;LCID;UVE;MLI;REXR;LQDA;EGP;KNSL;ICL;FMAO;SMP;LAND,,MRBK,0.03876520581654851,0.037714951035375796,0.0376899510353758,2.5e-05
Arm_150M,frente2_piso_tamanho,0,2021-12-30,2021-12-29,2022-01-13,2022-01-12,TRAIN,0,10,20,0,1,1,0.0,0.05,REAX;REXR;FMAO;LAND;MLI;HPK;JXN;MGTX;EGP;PBT;RDVT;FLR;LQDA;KNSL;FIX;SLAB;MXL;NXRT;KRUS;MORN,REAX;REXR;FMAO;LAND;RILY;MLI;HPK;JXN;MGTX;EGP;PBT;RDVT;FLR;LQDA;KNSL;FIX;SLAB;MXL;NXRT;KRUS,,RILY,-0.04025735838065697,-0.03802834797635983,-0.03805334797635983,2.5e-05
Arm_150M,frente2_piso_tamanho,0,2022-01-13,2022-01-12,2022-01-28,2022-01-27,TRAIN,0,10,20,0,2,2,0.0,0.1,PBT;REAX;LQDA;UVE;PI;JXN;VALU;RGC;LAND;LEGH;EPC;FMAO;LCID;ZIM;ROG;MLI;NUS;ICL;REXR;KN,PBT;LEE;REAX;LQDA;UVE;PI;JXN;VALU;RGC;LAND;LEGH;RILY;EPC;FMAO;LCID;ZIM;ROG;MLI;NUS;ICL,,LEE;RILY,-0.12419413287768415,-0.14753876363836238,-0.14758876363836237,5e-05
Arm_150M,frente2_piso_tamanho,0,2022-01-28,2022-01-27,2022-02-11,2022-02-10,TRAIN,0,10,20,0,2,2,0.0,0.1,VALU;PBT;MKC.V;FMAO;LEGH;EPC;NUS;RGC;ROG;FLO;KEN;UVV;VET;ECPG;LAND;PFBC;VG;LITE;HPK;UNTY,VALU;PBT;MKC.V;FMAO;LEGH;EPC;NUS;RGC;ROG;FLO;MRBK;KEN;UVV;VET;LEE;ECPG;LAND;PFBC;VG;LITE,,LEE;MRBK,0.03572734487093579,0.03572093104532683,0.03567093104532683,5e-05
Arm_150M,frente2_piso_tamanho,0,2022-02-11,2022-02-10,2022-02-28,2022-02-25,TRAIN,0,10,20,0,1,1,0.0,0.05,PBT;VET;ZIM;VALU;HPK;KEN;MKC.V;VIRT;IMO;MIRM;EGY;FMAO;SBLK;RES;IFS;JXN;GLP;EEFT;ECPG;WFG,PBT;VET;ZIM;VALU;HPK;KEN;MKC.V;VIRT;IMO;MIRM;EGY;LEE;FMAO;SBLK;RES;IFS;JXN;GLP;EEFT;ECPG,,LEE,0.013043220378524758,0.013960425112489402,0.013935425112489401,2.5e-05
Arm_150M,frente2_piso_tamanho,0,2022-02-28,2022-02-25,2022-03-14,2022-03-11,TRAIN,0,10,20,0,4,4,0.0,0.2,RES;VET;MIRM;VALU;REPX;EGY;HPK;PDS;IMO;HP;LNTH;PCRX;GLNG;SBLK;VNOM;HESM;FMAO;UTL;SABR;HWKN,RES;VET;MIRM;FINW;SND;VALU;REPX;EGY;HPK;PDS;EOLS;EPM;IMO;HP;LNTH;PCRX;GLNG;SBLK;VNOM;HESM,,EOLS;EPM;FINW;SND,0.051066751911843754,0.054681008453223955,0.05458100845322395,0.0001
