arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_R001_Any_Decomposition,0,2021-10-19,2021-10-18,2021-11-02,2021-11-01,TRAIN,0,10,20,1,0.05,RSI;SPSC;LEU;ENTA;LC;HRI;WFRD;TIPT;LAC;VNOM;SITM;TNET;PCTY;FLNG;KOS;MNDY;GDYN;MGY;FLYW;NXE,RSI;SPSC;LEU;ENTA;LC;HRI;WFRD;TIPT;LAC;VNOM;SITM;TNET;PCTY;FLNG;KOS;MNDY;GDYN;MGY;NXE;VICR,FLYW,VICR,0.046853186529817535,0.04843506022560745,0.048410060225607454,2.5e-05
Arm_R001_Any_Decomposition,0,2021-11-02,2021-11-01,2021-11-16,2021-11-15,TRAIN,0,10,20,2,0.1,LEU;UPST;HUT;ENTA;RSI;SM;LAC;WFRD;ENVX;SITM;KOS;OCGN;LQDA;MGY;PBT;LOB;HRMY;SSYS;HRI;VET,LEU;UPST;HUT;ENTA;RSI;SM;LAC;WFRD;ENVX;SITM;KOS;LQDA;MGY;PBT;HRMY;SSYS;HRI;VET;MTDR;MNDY,LOB;OCGN,MNDY;MTDR,-0.01604109549113652,0.009426909893953356,0.009376909893953357,5e-05
Arm_R001_Any_Decomposition,0,2021-11-16,2021-11-15,2021-12-01,2021-11-30,TRAIN,0,10,20,2,0.1,LEU;ENVX;SM;WFRD;HUT;ENTA;UUUU;LQDA;LAC;LOB;MTDR;PBF;REAX;KOS;RRC;LCID;PBT;EGY;WD;UROY,LEU;ENVX;SM;WFRD;HUT;ENTA;UUUU;LAC;LOB;MTDR;PBF;KOS;RRC;LCID;PBT;EGY;WD;UROY;VET;HRI,LQDA;REAX,HRI;VET,-0.07799904518639664,-0.08433966289635496,-0.08438966289635495,5e-05
Arm_R001_Any_Decomposition,0,2021-12-01,2021-11-30,2021-12-15,2021-12-14,TRAIN,0,10,20,2,0.1,ENVX;REAX;PBT;LAC;WFRD;FLNG;LOB;LEU;VERA;ENTA;VET;KFRC;SAIA;SM;VG;WD;FMAO;IAG;FIX;KOS,ENVX;REAX;PBT;LAC;WFRD;FLNG;LOB;LEU;VERA;ENTA;VET;KFRC;SAIA;SM;VG;IAG;FIX;KOS;PLUG;HIFS,FMAO;WD,HIFS;PLUG,-0.10063942822267753,-0.11458581292312717,-0.11463581292312716,5e-05
Arm_R001_Any_Decomposition,0,2021-12-15,2021-12-14,2021-12-30,2021-12-29,TRAIN,0,10,20,0,0.0,REAX;PBT;FLR;VRDN;FIX;LOB;IMKTA;ENVX;LCID;UVE;MLI;REXR;LQDA;EGP;KNSL;ICL;FMAO;SMP;LAND;ROG,REAX;PBT;FLR;VRDN;FIX;LOB;IMKTA;ENVX;LCID;UVE;MLI;REXR;LQDA;EGP;KNSL;ICL;FMAO;SMP;LAND;ROG,,,0.03876520581654851,0.03876520581654851,0.03876520581654851,0.0
Arm_R001_Any_Decomposition,0,2021-12-30,2021-12-29,2022-01-13,2022-01-12,TRAIN,0,10,20,1,0.05,REAX;REXR;FMAO;LAND;MLI;HPK;JXN;MGTX;EGP;PBT;RDVT;FLR;LQDA;KNSL;FIX;SLAB;MXL;NXRT;MORN;KRUS,REXR;FMAO;LAND;MLI;HPK;JXN;MGTX;EGP;PBT;RDVT;FLR;LQDA;KNSL;FIX;SLAB;MXL;NXRT;MORN;KRUS;LEGH,REAX,LEGH,-0.04025735838065697,-0.03475195426182952,-0.034776954261829515,2.5e-05
Arm_R001_Any_Decomposition,0,2022-01-13,2022-01-12,2022-01-28,2022-01-27,TRAIN,0,10,20,0,0.0,PBT;REAX;LQDA;UVE;PI;JXN;VALU;RGC;LAND;LEGH;EPC;FMAO;LCID;ZIM;ROG;MLI;NUS;ICL;REXR;KN,PBT;REAX;LQDA;UVE;PI;JXN;VALU;RGC;LAND;LEGH;EPC;FMAO;LCID;ZIM;ROG;MLI;NUS;ICL;REXR;KN,,,-0.12419413287768415,-0.12419413287768415,-0.12419413287768415,0.0
Arm_R001_Any_Decomposition,0,2022-01-28,2022-01-27,2022-02-11,2022-02-10,TRAIN,0,10,20,2,0.1,VALU;PBT;MKC.V;FMAO;LEGH;EPC;NUS;RGC;ROG;FLO;KEN;UVV;VET;ECPG;LAND;PFBC;VG;LITE;HPK;UNTY,PBT;FMAO;LEGH;EPC;NUS;RGC;ROG;FLO;KEN;UVV;VET;ECPG;LAND;PFBC;VG;LITE;HPK;UNTY;REYN;JXN,MKC.V;VALU,JXN;REYN,0.03572734487093579,0.03394578754817791,0.03389578754817791,5e-05
Arm_R001_Any_Decomposition,0,2022-02-11,2022-02-10,2022-02-28,2022-02-25,TRAIN,0,10,20,0,0.0,PBT;VET;ZIM;VALU;HPK;KEN;MKC.V;VIRT;IMO;MIRM;EGY;FMAO;SBLK;RES;IFS;JXN;GLP;EEFT;ECPG;WFG,PBT;VET;ZIM;VALU;HPK;KEN;MKC.V;VIRT;IMO;MIRM;EGY;FMAO;SBLK;RES;IFS;JXN;GLP;EEFT;ECPG;WFG,,,0.013043220378524758,0.013043220378524758,0.013043220378524758,0.0
Arm_R001_Any_Decomposition,0,2022-02-28,2022-02-25,2022-03-14,2022-03-11,TRAIN,0,10,20,1,0.05,RES;VET;MIRM;VALU;REPX;EGY;HPK;PDS;IMO;HP;LNTH;PCRX;GLNG;SBLK;VNOM;HESM;FMAO;SABR;UTL;HWKN,RES;VET;MIRM;VALU;REPX;EGY;HPK;PDS;IMO;HP;PCRX;GLNG;SBLK;VNOM;HESM;FMAO;SABR;UTL;HWKN;GNK,LNTH,GNK,0.051066751911843754,0.048456468801261775,0.04843146880126178,2.5e-05
Arm_R001_Any_Decomposition,0,2022-03-14,2022-03-11,2022-03-28,2022-03-25,TRAIN,0,10,20,2,0.1,RES;EGY;VET;PDS;PBF;HP;LNTH;GLNG;ZIM;PANL;MIRM;HNRG;NTR;RGLD;VAL;HLX;HPK;VALU;IFS;NBR,RES;EGY;VET;PDS;PBF;HP;LNTH;GLNG;ZIM;PANL;MIRM;HNRG;RGLD;VAL;HLX;VALU;IFS;NBR;PBA;GOLD,HPK;NTR,GOLD;PBA,0.03449816293176712,0.030523065513911492,0.03047306551391149,5e-05
Arm_R001_Any_Decomposition,0,2022-03-28,2022-03-25,2022-04-11,2022-04-08,TRAIN,0,10,20,0,0.0,RES;GLNG;PDS;EGY;HP;KOS;VET;MUR;NBR;STNG;GNK;PBF;TH;RRC;LNG;HNRG;NVGS;HQY;VNOM;NTR,RES;GLNG;PDS;EGY;HP;KOS;VET;MUR;NBR;STNG;GNK;PBF;TH;RRC;LNG;HNRG;NVGS;HQY;VNOM;NTR,,,0.010292749074265835,0.010292749074265835,0.010292749074265835,0.0
Arm_R001_Any_Decomposition,0,2022-04-11,2022-04-08,2022-04-26,2022-04-25,TRAIN,0,10,20,1,0.05,LNTH;RES;GLNG;EGY;PDS;STNG;MIRM;HP;KOS;NTR;RRC;NBR;RGLD;GOGO;VALU;REI;PCRX;VET;NAT;MUR,LNTH;RES;GLNG;EGY;PDS;STNG;MIRM;HP;KOS;NTR;RRC;NBR;RGLD;VALU;REI;PCRX;VET;NAT;MUR;TNK,GOGO,TNK,-0.07978882828948712,-0.08572978130172296,-0.08575478130172295,2.5e-05
Arm_R001_Any_Decomposition,0,2022-04-26,2022-04-25,2022-05-10,2022-05-09,TRAIN,0,10,20,5,0.25,LNTH;PRCT;HPK;STNG;SAIL;GLNG;PDS;RES;RRC;TH;GOGO;HP;HRMY;ELA;NTR;REI;SLVM;UTI;EGY;TNK,LNTH;STNG;SAIL;GLNG;PDS;RES;RRC;GOGO;HP;HRMY;REI;SLVM;UTI;EGY;TNK;PCVX;MIRM;HRB;RGLD;HCKT,ELA;HPK;NTR;PRCT;TH,HCKT;HRB;MIRM;PCVX;RGLD,-0.0872882425584676,-0.092532725262065,-0.092657725262065,0.000125
Arm_R001_Any_Decomposition,0,2022-05-10,2022-05-09,2022-05-24,2022-05-23,TRAIN,0,10,20,9,0.45,TH;LNTH;STNG;SAIL;REI;MYE;GLNG;ULH;HNRG;LPG;RSVR;VHI;NC;MUSA;HP;TMDX;RRC;HCKT;NVGS;SR,TH;SAIL;MYE;HNRG;RSVR;VHI;NC;MUSA;HCKT;NVGS;SR;PLUS;GO;HURN;VAL;HPK;PDS;GOGO;FMAO;PBF,GLNG;HP;LNTH;LPG;REI;RRC;STNG;TMDX;ULH,FMAO;GO;GOGO;HPK;HURN;PBF;PDS;PLUS;VAL,0.05016441703474204,0.04959049032139902,0.049365490321399016,0.00022500000000000002
Arm_R001_Any_Decomposition,0,2022-05-24,2022-05-23,2022-06-08,2022-06-07,TRAIN,0,10,20,0,0.0,LNTH;STNG;TMDX;VHI;HYMC;TOI;TH;NC;TNK;SAIL;PBF;KOS;PCT;PRCT;GLNG;GO;VAL;MYE;NVGS;HP,LNTH;STNG;TMDX;VHI;HYMC;TOI;TH;NC;TNK;SAIL;PBF;KOS;PCT;PRCT;GLNG;GO;VAL;MYE;NVGS;HP,,,0.05538861181010535,0.05538861181010535,0.05538861181010535,0.0
Arm_R001_Any_Decomposition,0,2022-06-08,2022-06-07,2022-06-23,2022-06-22,TRAIN,0,10,20,0,0.0,VHI;STNG;PBF;NC;MYE;ELA;TNK;ULH;PBT;GDYN;HRB;GNE;PPC;SLVM;KNTK;PJT;PARR;MUSA;GLNG;KRO,VHI;STNG;PBF;NC;MYE;ELA;TNK;ULH;PBT;GDYN;HRB;GNE;PPC;SLVM;KNTK;PJT;PARR;MUSA;GLNG;KRO,,,-0.1421069304942942,-0.1421069304942942,-0.1421069304942942,0.0
