arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_R001_Any_Decomposition,0,TRAIN,31,-0.15216443440894378,-4.737410693776091,0.08064516129032256,-0.14882453393599404,-4.935842111696057
Arm_R001_Any_Decomposition,1,TRAIN,31,-0.1529310319148973,-4.31666890917315,0.09354838709677418,-0.14113210327792752,-4.052561486713098
Arm_R001_Any_Decomposition,2,TRAIN,31,-0.11458093801363853,-4.6493933768579945,0.07741935483870968,-0.11560517651834157,-4.367841006494553
Arm_R001_Any_Decomposition,3,TRAIN,30,-0.1277805277344108,-4.014399063817609,0.07333333333333332,-0.11882300149307709,-3.8132061303300517
Arm_R001_Any_Decomposition,4,TRAIN,30,-0.1199151348508723,-3.5192317948536767,0.061666666666666675,-0.12419118206353948,-3.9482270727241837
Arm_R001_Any_Decomposition,5,TRAIN,30,-0.15250283743018206,-4.456003482142827,0.05666666666666667,-0.1507763732352861,-4.135119619113995
Arm_R001_Any_Decomposition,6,TRAIN,30,-0.1654171267359706,-4.580748769177914,0.05,-0.1580315826291539,-4.222327555523176
Arm_R001_Any_Decomposition,7,TRAIN,30,-0.13719282757725296,-4.581551117930926,0.04833333333333334,-0.13235533517226827,-4.867260368495906
Arm_R001_Any_Decomposition,8,TRAIN,30,-0.12714263439299142,-3.723947277674526,0.06833333333333334,-0.12295042714842108,-3.6973999812691556
Arm_R001_Any_Decomposition,9,TRAIN,30,-0.1529009668928386,-3.162539189859416,0.06833333333333333,-0.14921150113796494,-4.117826019978428
Arm_R001_Downside,0,TRAIN,31,-0.14882453393599404,-5.326924921024057,0.016129032258064516,-0.14882453393599404,-4.935842111696057
Arm_R001_Downside,1,TRAIN,31,-0.14113210327792752,-4.225611124287933,0.020967741935483876,-0.14113210327792752,-4.052561486713098
Arm_R001_Downside,2,TRAIN,31,-0.11560517651834157,-4.489724785304409,0.004838709677419356,-0.11560517651834157,-4.367841006494553
Arm_R001_Downside,3,TRAIN,30,-0.11882300149307709,-3.862788862913589,0.006666666666666667,-0.11882300149307709,-3.8132061303300517
Arm_R001_Downside,4,TRAIN,30,-0.12419118206353948,-3.8233396749463022,0.0016666666666666668,-0.12419118206353948,-3.9482270727241837
Arm_R001_Downside,5,TRAIN,30,-0.1507763732352861,-4.3838704732712594,0.005000000000000001,-0.1507763732352861,-4.135119619113995
Arm_R001_Downside,6,TRAIN,30,-0.15918769655555884,-4.261344146404095,0.0033333333333333335,-0.1580315826291539,-4.222327555523176
Arm_R001_Downside,7,TRAIN,30,-0.13719282757725296,-4.783314410579172,0.006666666666666667,-0.13235533517226827,-4.867260368495906
Arm_R001_Downside,8,TRAIN,30,-0.12295042714842108,-3.6279753756819852,0.008333333333333333,-0.12295042714842108,-3.6973999812691556
Arm_R001_Downside,9,TRAIN,30,-0.151223633287153,-4.017905359138307,0.006666666666666667,-0.14921150113796494,-4.117826019978428
Arm_R001_Downside_R037_Severe,0,TRAIN,31,-0.14675458684772347,-5.267950342039155,0.02580645161290323,-0.14882453393599404,-4.935842111696057
Arm_R001_Downside_R037_Severe,1,TRAIN,31,-0.13948614714121768,-4.1022576396507375,0.035483870967741936,-0.14113210327792752,-4.052561486713098
Arm_R001_Downside_R037_Severe,2,TRAIN,31,-0.10949369188937544,-3.9451414308347283,0.020967741935483872,-0.11560517651834157,-4.367841006494553
Arm_R001_Downside_R037_Severe,3,TRAIN,30,-0.1131732585873278,-3.784087014973233,0.013333333333333334,-0.11882300149307709,-3.8132061303300517
Arm_R001_Downside_R037_Severe,4,TRAIN,30,-0.12748859328868484,-4.033210840990361,0.01,-0.12419118206353948,-3.9482270727241837
Arm_R001_Downside_R037_Severe,5,TRAIN,30,-0.15582980020853537,-4.414252114867644,0.011666666666666665,-0.1507763732352861,-4.135119619113995
Arm_R001_Downside_R037_Severe,6,TRAIN,30,-0.16221282669462725,-4.436499173489525,0.01,-0.1580315826291539,-4.222327555523176
