arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_R037_Confirm_R001Any,0,SW2,50,-0.18899563976968295,0.9193832114425198,0.028999999999999998,-0.19244894542877589,0.10987739506208775
Arm_R037_Confirm_R001Any,1,SW2,50,-0.23009428927769338,1.203464780725348,0.027999999999999997,-0.2451925662016824,1.024523129760792
Arm_R037_Confirm_R001Any,2,SW2,50,-0.21564147192781094,2.3245225247996775,0.04100000000000001,-0.23278873877769587,1.5709437288661692
Arm_R037_Confirm_R001Any,3,SW2,50,-0.20903846543293056,0.8704721673925205,0.036000000000000004,-0.22629758142214698,0.7814260664510986
Arm_R037_Confirm_R001Any,4,SW2,50,-0.21116247193787283,1.1438141484560063,0.031000000000000007,-0.21116247193787283,1.0019431197280824
Arm_R037_Confirm_R001Any,5,SW2,50,-0.19088769360887423,0.3770032408628057,0.036000000000000004,-0.2019491340091045,0.021143302201571398
Arm_R037_Confirm_R001Any,6,SW2,50,-0.19192979632124374,-1.1430891526164826,0.028999999999999998,-0.1928992743677803,-0.30650684091141284
Arm_R037_Confirm_R001Any,7,SW2,51,-0.1645124694440172,2.043834390861372,0.02647058823529412,-0.1702260719523356,1.1525460124041065
Arm_R037_Confirm_R001Any,8,SW2,50,-0.18955155915661914,2.4814878147223576,0.032,-0.18955155915661914,2.271836814534522
Arm_R037_Confirm_R001Any,9,SW2,50,-0.1540687615065215,1.4159902110264766,0.032,-0.15969484047311938,0.649875279045632
Arm_R037_Severe,0,SW2,50,-0.18003953172494866,1.9457783240397732,0.139,-0.19244894542877589,0.10987739506208775
Arm_R037_Severe,1,SW2,50,-0.21088231305707864,0.9403359003868742,0.145,-0.2451925662016824,1.024523129760792
Arm_R037_Severe,2,SW2,50,-0.1991647560139005,2.430611899117451,0.138,-0.23278873877769587,1.5709437288661692
Arm_R037_Severe,3,SW2,50,-0.20119322372370876,1.256464689861253,0.145,-0.22629758142214698,0.7814260664510986
Arm_R037_Severe,4,SW2,50,-0.20172269331230017,1.1092281950860738,0.13799999999999998,-0.21116247193787283,1.0019431197280824
Arm_R037_Severe,5,SW2,50,-0.16642851566736094,-0.1316027142150336,0.14600000000000002,-0.2019491340091045,0.021143302201571398
Arm_R037_Severe,6,SW2,50,-0.17896984521007978,-0.8677668706254925,0.146,-0.1928992743677803,-0.30650684091141284
Arm_R037_Severe,7,SW2,51,-0.13566289089413117,1.5709011366241987,0.13431372549019607,-0.1702260719523356,1.1525460124041065
Arm_R037_Severe,8,SW2,50,-0.14519844246859046,2.160158906237023,0.141,-0.18955155915661914,2.271836814534522
Arm_R037_Severe,9,SW2,50,-0.16038860855719608,1.4274968024303973,0.148,-0.15969484047311938,0.649875279045632
Baseline_R060,0,SW2,50,-0.19244894542877589,0.10987739506208775,0.0,-0.19244894542877589,0.10987739506208775
Baseline_R060,1,SW2,50,-0.2451925662016824,1.024523129760792,0.0,-0.2451925662016824,1.024523129760792
Baseline_R060,2,SW2,50,-0.23278873877769587,1.5709437288661692,0.0,-0.23278873877769587,1.5709437288661692
Baseline_R060,3,SW2,50,-0.22629758142214698,0.7814260664510986,0.0,-0.22629758142214698,0.7814260664510986
Baseline_R060,4,SW2,50,-0.21116247193787283,1.0019431197280824,0.0,-0.21116247193787283,1.0019431197280824
Baseline_R060,5,SW2,50,-0.2019491340091045,0.021143302201571398,0.0,-0.2019491340091045,0.021143302201571398
Baseline_R060,6,SW2,50,-0.1928992743677803,-0.30650684091141284,0.0,-0.1928992743677803,-0.30650684091141284
Baseline_R060,7,SW2,51,-0.1702260719523356,1.1525460124041065,0.0,-0.1702260719523356,1.1525460124041065
Baseline_R060,8,SW2,50,-0.18955155915661914,2.271836814534522,0.0,-0.18955155915661914,2.271836814534522
Baseline_R060,9,SW2,50,-0.15969484047311938,0.649875279045632,0.0,-0.15969484047311938,0.649875279045632
