arm,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_R037_Confirm_R001Any,0,TRAIN,31,-0.14882453393599404,-4.981361914854875,0.0016129032258064516,-0.14882453393599404,-4.935842111696057
Arm_R037_Confirm_R001Any,1,TRAIN,31,-0.14113210327792752,-4.117438753428153,0.0016129032258064516,-0.14113210327792752,-4.052561486713098
Arm_R037_Confirm_R001Any,2,TRAIN,31,-0.11560517651834157,-4.367841006494553,0.0,-0.11560517651834157,-4.367841006494553
Arm_R037_Confirm_R001Any,3,TRAIN,30,-0.11882300149307709,-3.8132061303300517,0.0,-0.11882300149307709,-3.8132061303300517
Arm_R037_Confirm_R001Any,4,TRAIN,30,-0.12419118206353948,-3.9382134722799886,0.0016666666666666668,-0.12419118206353948,-3.9482270727241837
Arm_R037_Confirm_R001Any,5,TRAIN,30,-0.1507763732352861,-4.135119619113995,0.0,-0.1507763732352861,-4.135119619113995
Arm_R037_Confirm_R001Any,6,TRAIN,30,-0.16249483687819907,-4.269481821914218,0.0016666666666666668,-0.1580315826291539,-4.222327555523176
Arm_R037_Confirm_R001Any,7,TRAIN,30,-0.13235533517226827,-4.94499483706159,0.0033333333333333335,-0.13235533517226827,-4.867260368495906
Arm_R037_Confirm_R001Any,8,TRAIN,30,-0.12295042714842108,-3.661263334243939,0.005000000000000001,-0.12295042714842108,-3.6973999812691556
Arm_R037_Confirm_R001Any,9,TRAIN,30,-0.151223633287153,-4.034787477042873,0.0033333333333333335,-0.14921150113796494,-4.117826019978428
Arm_R037_Severe,0,TRAIN,31,-0.14675458684772347,-4.8762386722006745,0.00967741935483871,-0.14882453393599404,-4.935842111696057
Arm_R037_Severe,1,TRAIN,31,-0.13948614714121768,-3.960143235229404,0.014516129032258063,-0.14113210327792752,-4.052561486713098
Arm_R037_Severe,2,TRAIN,31,-0.10949369188937544,-3.8273905436066595,0.016129032258064516,-0.11560517651834157,-4.367841006494553
Arm_R037_Severe,3,TRAIN,30,-0.1131732585873278,-3.733915665661139,0.006666666666666667,-0.11882300149307709,-3.8132061303300517
Arm_R037_Severe,4,TRAIN,30,-0.12748859328868484,-4.158374339236213,0.008333333333333333,-0.12419118206353948,-3.9482270727241837
Arm_R037_Severe,5,TRAIN,30,-0.15582980020853537,-4.194143482277819,0.006666666666666667,-0.1507763732352861,-4.135119619113995
Arm_R037_Severe,6,TRAIN,30,-0.16221282669462725,-4.398630887262266,0.006666666666666667,-0.1580315826291539,-4.222327555523176
Arm_R037_Severe,7,TRAIN,30,-0.13678759593272144,-4.941610183123556,0.013333333333333332,-0.13235533517226827,-4.867260368495906
Arm_R037_Severe,8,TRAIN,30,-0.12457642679001626,-3.50157220319398,0.011666666666666665,-0.12295042714842108,-3.6973999812691556
Arm_R037_Severe,9,TRAIN,30,-0.15531666381798998,-3.8037671016203696,0.011666666666666667,-0.14921150113796494,-4.117826019978428
Baseline_R060,0,TRAIN,31,-0.14882453393599404,-4.935842111696057,0.0,-0.14882453393599404,-4.935842111696057
Baseline_R060,1,TRAIN,31,-0.14113210327792752,-4.052561486713098,0.0,-0.14113210327792752,-4.052561486713098
Baseline_R060,2,TRAIN,31,-0.11560517651834157,-4.367841006494553,0.0,-0.11560517651834157,-4.367841006494553
Baseline_R060,3,TRAIN,30,-0.11882300149307709,-3.8132061303300517,0.0,-0.11882300149307709,-3.8132061303300517
Baseline_R060,4,TRAIN,30,-0.12419118206353948,-3.9482270727241837,0.0,-0.12419118206353948,-3.9482270727241837
Baseline_R060,5,TRAIN,30,-0.1507763732352861,-4.135119619113995,0.0,-0.1507763732352861,-4.135119619113995
Baseline_R060,6,TRAIN,30,-0.1580315826291539,-4.222327555523176,0.0,-0.1580315826291539,-4.222327555523176
Baseline_R060,7,TRAIN,30,-0.13235533517226827,-4.867260368495906,0.0,-0.13235533517226827,-4.867260368495906
Baseline_R060,8,TRAIN,30,-0.12295042714842108,-3.6973999812691556,0.0,-0.12295042714842108,-3.6973999812691556
Baseline_R060,9,TRAIN,30,-0.14921150113796494,-4.117826019978428,0.0,-0.14921150113796494,-4.117826019978428
