date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100,track,top_n,max_weight_cap,split,is_holdout,cash_ratio,log_ret_equity
2024-10-08,C4,101313.13378528731,101313.13378528731,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.29170978476536,COVARIADO,10,0.12,SW1,1,1.0,
2024-10-09,C4,101332.55213592948,101332.55213592948,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.31112402914077,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-10,C4,101351.9742084222,101351.9742084222,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.33054199457969,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-11,C4,101371.4000034788,101371.4000034788,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.34996368179532,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-14,C4,101390.82952181279,101390.82952181279,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.36938909150098,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-15,C4,101410.26276413779,101410.26276413779,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.38881822441017,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-16,C4,101429.69973116758,101429.69973116758,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.4082510812365,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-17,C4,101449.14042361605,101449.14042361605,0.0,0,0.0,0.0,0.00019166666666666667,0,0,0,0,0,0,10,0,101.42768766269373,COVARIADO,10,0.12,SW1,1,1.0,0.0001916483009577265
2024-10-18,C4,101423.91099536543,286.55099536540416,0.0,10,0.10001290524542598,25.28434,0.00019166666666666667,0,0,0,0,0,0,10,1,101.40246356953901,COVARIADO,10,0.12,SW1,1,0.0028252804743301423,-0.0002487213378437102
2024-10-21,C4,100926.33591763953,286.60591763951584,0.0,10,0.10464939506591196,25.28434,0.00019166666666666667,0,0,0,0,0,0,10,0,100.90499371063643,COVARIADO,10,0.12,SW1,1,0.00283975351957094,-0.004917968603410682
2024-10-22,C4,100721.7408504404,286.6608504403967,0.0,10,0.11187534989821148,25.28434,0.00019166666666666667,0,0,0,0,0,0,10,0,100.70044190776706,COVARIADO,10,0.12,SW1,1,0.0028460672742546553,-0.0020292297420796447
2024-10-23,C4,97699.45579377006,286.7157937700644,0.0,10,0.10971340539118447,25.28434,0.00019166666666666667,1,0,0,0,0,0,10,0,97.67879595319742,COVARIADO,10,0.12,SW1,1,0.002934671349401183,-0.03046568478903409
2024-10-24,C4,97897.43074763055,286.77074763053696,0.0,10,0.11398991694447602,25.28434,0.00019166666666666667,1,0,0,0,0,0,10,0,97.8767290426386,COVARIADO,10,0.12,SW1,1,0.0029292979952640665,0.0020243166950889417
2024-10-25,C4,97903.0857120238,286.8257120238328,0.0,10,0.11263853350278678,25.28434,0.00019166666666666667,1,0,0,0,0,0,10,0,97.88238281121492,COVARIADO,10,0.12,SW1,1,0.0029296902129061983,5.776250744446942e-05
2024-10-28,C4,99574.73068695197,286.8806869519707,0.0,10,0.10942535244464172,25.28434,0.00019166666666666667,1,0,0,0,0,0,10,0,99.5536742947301,COVARIADO,10,0.12,SW1,1,0.002881059129889897,0.01693035637951178
2024-10-29,C4,100211.39567241697,286.9356724169698,0.0,10,0.10736164213469147,25.28434,0.00019166666666666667,0,0,0,0,0,0,10,0,100.19020464897335,COVARIADO,10,0.12,SW1,1,0.002863303823798039,0.006373487010807043
2024-10-30,C4,98545.33066842087,286.9906684208497,0.0,10,0.10844917691696103,25.28434,0.00019166666666666667,0,0,0,0,0,0,10,0,98.52449195643166,COVARIADO,10,0.12,SW1,1,0.002912270591353515,-0.016765259304059088
2024-10-31,C4,97045.24567496563,287.0456749656304,0.0,10,0.10911013647659305,25.28434,0.00019166666666666667,1,0,0,0,0,0,10,0,97.02472417576496,COVARIADO,10,0.12,SW1,1,0.00295785407073969,-0.01533933213900438
2024-11-01,C4,100361.76117178312,3.0752892831238348,47164.6758825,7,0.11131789507836022,37.1494325,0.00019166666666666667,1,0,0,0,0,0,10,1,100.34053835156828,COVARIADO,10,0.12,SW1,1,3.064204182168594e-05,0.0336039498806671
2024-11-04,C4,96586.4541536744,47176.79165742438,50.00249625,6,0.10925445076605036,37.161936250000004,0.00019166666666666667,1,0,0,1,1,1,10,0,96.56602967200169,COVARIADO,10,0.12,SW1,1,0.4884410766582599,-0.0383427646538966
2024-11-05,C4,99135.46484088717,47235.84595588717,7722.528885,5,0.11448980461449186,39.09305125,0.00019166666666666667,1,0,0,2,2,2,10,0,99.11450133723132,COVARIADO,10,0.12,SW1,1,0.4764777774704632,0.026048741314554202
2024-11-06,C4,101962.18852939834,54968.90852939834,0.0,5,0.12097798387726298,39.09305125,0.00019166666666666667,1,0,0,2,2,2,10,0,101.9406272776765,COVARIADO,10,0.12,SW1,1,0.5391107166510983,0.02811479731762974
2024-11-07,C4,101665.55423686648,54979.44423686647,0.0,5,0.1290118378683248,39.09305125,0.00019166666666666667,0,0,0,2,1,2,10,0,101.64405571238444,COVARIADO,10,0.12,SW1,1,0.5407873359817827,-0.002913497918633453
